num_personas_hogar,area_vivienda_m2,num_electrodomesticos,horas_uso_ac,estrato_social,mes,consumo_kwh,nivel_consumo
5,115.7,2,4.7,D,Septiembre,255.4,normal
6,266.6,3,3.4,C,Marzo,304.1,alto
3,76.5,13,9.0,C,Febrero,374.1,alto
5,183.1,11,4.8,C,Diciembre,379.0,alto
5,67.2,14,7.3,B,Agosto,402.4,alto
4,199.2,3,10.1,D,Agosto,374.5,alto
7,205.9,6,3.1,C,Febrero,335.4,alto
2,,12,1.1,D,Febrero,278.2,normal
3,280.8,4,8.1,C,Enero,334.0,alto
5,67.0,5,9.6,D,Mayo,308.3,alto
2,295.8,5,3.7,C,Marzo,267.2,normal
5,278.4,13,10.5,D,Enero,500.3,alto
3,140.9,13,3.2,D,Enero,270.9,normal
3,136.7,14,2.2,C,Octubre,274.6,normal
5,234.1,3,9.6,B,Septiembre,366.6,alto
7,102.6,5,0.0,A,Marzo,274.1,normal
3,30.8,2,0.9,C,Mayo,132.2,normal
1,121.9,9,11.7,B,Junio,373.5,alto
1,,8,10.8,A,Marzo,416.8,alto
4,32.8,3,0.8,B,Septiembre,175.8,normal
1,102.0,5,5.1,D,Enero,171.3,normal
4,,11,11.5,B,Noviembre,460.3,alto
7,156.3,3,,C,Junio,313.0,alto
4,,4,11.2,C,Marzo,375.0,alto
6,264.3,3,7.0,C,Diciembre,435.5,alto
5,209.5,10,3.6,C,Junio,330.2,alto
4,187.5,3,,C,Febrero,370.8,alto
4,297.0,6,,A,Enero,3869.119343028221,alto
3,53.4,13,8.1,C,Octubre,330.5,alto
1,135.1,11,2.3,D,Junio,204.6,normal
2,109.3,2,2.8,D,Noviembre,148.2,normal
5,293.5,12,3.7,C,Julio,399.9,alto
2,117.3,14,7.5,D,Julio,327.8,alto
3,243.3,4,5.5,C,Agosto,312.7,alto
3,87.2,14,3.7,B,Junio,301.8,alto
2,63.7,8,5.2,D,Diciembre,217.6,normal
3,,5,0.7,A,Agosto,181.4,normal
2,129.2,3,11.1,D,Junio,287.9,normal
1,221.7,11,6.5,A,Enero,365.9,alto
2,65.2,3,4.0,C,Mayo,189.3,normal
3,145.4,4,9.3,C,Diciembre,336.5,alto
5,107.0,9,9.9,D,Octubre,363.2,alto
7,93.9,3,11.0,D,Enero,370.8,alto
2,295.4,5,10.8,B,Junio,414.3,alto
6,,12,6.0,B,Junio,382.0,alto
3,262.3,11,9.6,B,Enero,459.6,alto
6,300.0,4,9.5,B,Julio,454.2,alto
5,57.4,6,,B,Septiembre,343.3,alto
2,200.5,10,4.8,B,Septiembre,277.3,normal
2,88.4,3,4.6,C,Abril,170.2,normal
4,204.1,12,10.3,B,Agosto,467.7,alto
7,222.1,8,10.4,C,Febrero,456.7,alto
7,71.8,2,8.4,B,Abril,357.8,alto
5,299.3,8,0.6,D,Abril,323.0,alto
3,,10,1.3,B,Noviembre,186.7,normal
3,45.0,14,6.4,A,Octubre,341.7,alto
2,104.3,5,0.0,C,Junio,191.7,normal
1,147.9,14,6.5,B,Diciembre,348.9,alto
7,,3,5.5,C,Octubre,385.1,alto
1,,5,5.4,D,Agosto,284.0,normal
1,150.3,6,3.2,D,Mayo,211.5,normal
4,241.3,10,10.8,C,Agosto,437.9,alto
3,184.7,10,5.0,B,Diciembre,332.8,alto
7,207.0,4,11.2,C,Febrero,442.0,alto
6,261.2,12,8.8,B,Noviembre,487.7,alto
7,126.4,8,5.7,A,Enero,360.8,alto
5,74.5,13,10.6,B,Marzo,438.5,alto
6,,13,2.9,C,Septiembre,323.9,alto
1,57.8,10,4.4,d,Abril,221.8,normal
2,296.8,8,3.2,D,Agosto,285.3,normal
5,281.7,10,2.9,C,Diciembre,362.5,alto
1,193.0,5,4.3,C,Octubre,230.4,normal
2,,10,4.7,A,Septiembre,266.1,normal
7,257.9,6,11.6,C,Marzo,464.0,alto
3,132.9,9,7.0,B,Octubre,320.4,alto
2,187.3,3,3.1,C,Diciembre,238.2,normal
6,200.5,14,9.8,C,Octubre,484.8,alto
7,,14,7.1,B,Mayo,444.2,alto
1,212.1,2,2.2,D,Agosto,161.7,normal
4,34.4,3,6.6,C,Junio,221.3,normal
6,259.3,14,10.0,D,Abril,513.5,alto
7,124.9,5,3.8,D,Febrero,263.1,normal
4,270.1,2,1.5,C,Enero,261.8,normal
1,251.8,9,3.7,B,Agosto,284.1,normal
4,66.6,3,,C,Diciembre,223.7,normal
2,154.0,13,6.0,B,Septiembre,364.2,alto
