horas_estudio_semana,asistencia_pct,nota_parcial,trabaja,horas_trabajo_semana,nivel_socioeconomico,nota_final,riesgo_academico
5.2,87.5,7.7,0,0.0,Medio,9.0,reprobado
15.3,85.5,18.6,0,0.0,Bajo,15.0,aprobado
28.1,41.4,8.4,0,0.0,MEDIO,15.8,aprobado
3.6,74.4,18.4,1,36.0,Medio,10.2,reprobado
3.6,78.4,11.8,0,0.0,Medio,10.8,reprobado
7.1,91.0,19.4,0,0.0,Bajo,14.1,aprobado
5.7,92.8,19.9,1,13.0,Alto,17.1,aprobado
6.5,51.5,10.5,1,11.0,Bajo,10.0,reprobado
21.7,40.9,7.1,0,0.0,Medio,13.2,en_riesgo
24.1,85.3,,1,30.0,Medio,16.6,aprobado
28.9,97.2,6.5,1,24.0,Alto,17.9,aprobado
18.6,57.9,,1,41.0,Bajo,10.8,reprobado
16.0,42.0,7.9,0,0.0,Alto,11.9,en_riesgo
,97.5,6.8,0,0.0,Bajo,11.9,en_riesgo
,77.1,15.5,0,0.0,Medio,17.1,aprobado
6.7,93.5,19.7,0,0.0,Medio,16.9,aprobado
3.1,94.1,6.7,0,0.0,Alto,11.8,en_riesgo
25.1,85.7,8.1,0,0.0,Bajo,14.4,aprobado
1.7,59.8,,0,0.0,Medio,5.8,reprobado
3.6,59.9,18.4,1,44.0,Bajo,11.2,en_riesgo
,44.1,5.3,0,0.0,Alto,7.9,reprobado
3.3,93.7,10.2,0,0.0,Medio,10.8,reprobado
19.7,94.1,12.0,0,0.0,ALTO,16.4,aprobado
,52.4,,1,32.0,Bajo,13.6,en_riesgo
13.3,82.2,6.5,0,0.0,Medio,12.3,en_riesgo
20.5,86.5,17.5,0,0.0,Bajo,16.6,aprobado
27.8,88.7,5.5,0,0.0,alto,14.8,aprobado
1.8,79.6,7.4,0,0.0,Alto,10.9,reprobado
11.1,47.3,13.6,0,0.0,Bajo,13.8,en_riesgo
8.2,71.3,6.7,0,0.0,Medio,7.1,reprobado
17.8,67.2,5.9,0,0.0,Alto,11.0,en_riesgo
26.2,80.7,9.9,0,0.0,Medio,15.8,aprobado
19.3,45.7,15.6,1,8.0,Bajo,13.3,en_riesgo
27.4,74.4,7.1,1,11.0,Medio,15.6,aprobado
12.7,49.0,17.1,0,0.0,Alto,13.0,en_riesgo
15.4,46.3,14.1,1,20.0,Alto,13.7,en_riesgo
,86.1,19.3,1,25.0,Bajo,14.1,aprobado
,91.3,15.9,0,0.0,Medio,17.0,aprobado
14.6,87.7,15.3,1,30.0,Medio,16.4,aprobado
21.0,40.7,8.0,0,0.0,Medio,14.0,aprobado
10.5,87.1,5.3,0,0.0,Medio,10.4,reprobado
2.4,92.2,13.8,0,0.0,BAJO,11.6,en_riesgo
28.0,80.1,14.2,0,0.0,Medio,19.7,aprobado
29.4,78.8,9.3,1,30.0,Bajo,16.5,aprobado
10.6,44.1,7.2,0,0.0,Medio,9.5,reprobado
15.9,46.0,16.7,1,22.0,Bajo,15.8,aprobado
24.6,52.2,13.2,1,39.0,Medio,16.6,aprobado
23.5,55.9,6.1,1,33.0,Medio,13.8,en_riesgo
17.5,74.7,7.8,1,9.0,Alto,13.1,en_riesgo
18.6,96.1,,1,26.0,Medio,17.9,aprobado
11.3,83.2,17.3,0,0.0,Alto,14.8,aprobado
17.1,84.2,11.7,1,16.0,MEDIO,15.1,aprobado
,48.4,16.7,0,0.0,Bajo,9.1,reprobado
29.2,90.8,13.3,1,18.0,Alto,19.9,aprobado
26.9,96.8,12.1,0,0.0,Medio,18.6,aprobado
16.0,41.5,10.1,0,0.0,Alto,13.3,en_riesgo
14.1,89.0,7.7,1,9.0,Medio,10.8,reprobado
6.5,41.1,19.4,1,23.0,Medio,11.8,en_riesgo
10.9,86.3,7.9,1,34.0,Bajo,10.0,reprobado
23.4,74.6,8.2,1,37.0,Alto,14.7,aprobado
20.1,95.2,15.9,0,0.0,Medio,16.5,aprobado
12.8,43.9,14.0,0,0.0,Medio,13.2,en_riesgo
10.5,79.4,,0,0.0,Alto,17.5,aprobado
24.4,44.8,17.6,0,0.0,Medio,16.3,aprobado
26.5,72.0,16.5,1,42.0,Medio,18.4,aprobado
26.1,64.2,,0,0.0,Medio,17.5,aprobado
4.9,54.1,9.0,0,0.0,Bajo,8.8,reprobado
10.0,47.9,14.7,1,39.0,Medio,11.8,en_riesgo
26.8,58.6,10.0,0,0.0,bajo,14.9,aprobado
,67.5,7.0,1,0.0,medio,8.8,reprobado
19.9,46.9,17.6,1,31.0,Medio,13.9,en_riesgo
20.5,74.6,10.9,1,41.0,Alto,16.9,aprobado
17.2,72.6,10.2,0,0.0,Bajo,14.6,aprobado
24.4,91.7,6.5,0,0.0,Alto,18.0,aprobado
13.3,59.4,15.5,1,33.0,Bajo,14.3,aprobado
26.0,85.2,7.0,0,0.0,Medio,15.7,aprobado
29.9,99.5,7.9,1,16.0,Alto,20.0,aprobado
9.3,59.8,,1,18.0,Medio,14.2,aprobado
19.5,69.7,5.9,1,22.0,Bajo,12.8,en_riesgo
3.2,70.2,15.8,0,0.0,Medio,11.6,en_riesgo
28.1,69.9,8.6,1,38.0,Bajo,14.6,aprobado
17.4,89.1,10.2,0,0.0,Bajo,15.8,aprobado
24.7,96.6,,0,0.0,Medio,17.7,aprobado
19.4,80.0,,0,0.0,Bajo,18.1,aprobado
9.7,50.0,13.0,1,31.0,Alto,9.7,reprobado
28.2,72.9,19.6,1,14.0,Medio,19.9,aprobado
18.6,49.2,5.6,1,39.0,Bajo,10.2,reprobado
9.2,68.6,6.0,0,0.0,Medio,8.4,reprobado
,79.2,5.6,0,0.0,Medio,16.3,aprobado
7.0,63.9,14.1,1,38.0,Bajo,10.0,reprobado
18.1,64.1,,0,0.0,Bajo,14.9,aprobado
12.2,56.8,6.9,0,0.0,Medio,10.0,reprobado
5.5,92.5,9.6,0,0.0,Bajo,11.2,en_riesgo
26.2,45.3,,1,20.0,Medio,17.5,aprobado
21.6,73.5,10.3,0,0.0,Medio,14.2,aprobado
9.7,57.3,12.3,1,36.0,Alto,11.3,en_riesgo
3.6,60.0,15.1,0,0.0,Medio,10.9,reprobado
16.8,84.1,9.9,1,28.0,Medio,11.5,en_riesgo
19.0,55.9,6.6,1,15.0,Bajo,10.7,reprobado
,45.0,16.2,0,0.0,Medio,16.7,aprobado
21.6,49.5,8.1,1,46.0,Medio,10.1,reprobado
13.7,83.4,6.7,1,16.0,Alto,11.8,en_riesgo
14.2,49.7,18.2,0,0.0,Bajo,14.6,aprobado
24.5,63.6,6.6,0,0.0,Medio,14.0,aprobado
29.5,43.1,12.5,1,26.0,Alto,18.6,aprobado
19.8,97.0,6.0,0,0.0,medio,14.3,aprobado
7.2,85.7,11.7,0,0.0,Bajo,11.2,en_riesgo
6.1,44.0,15.8,0,0.0,Medio,9.6,reprobado
16.5,40.7,18.6,1,17.0,Bajo,15.2,aprobado
8.2,79.2,16.8,1,43.0,Bajo,11.1,en_riesgo
4.1,87.8,5.0,0,0.0,Bajo,9.1,reprobado
5.6,94.0,14.0,0,0.0,BAJO,11.9,en_riesgo
4.1,63.5,7.3,1,45.0,Medio,7.4,reprobado
10.0,80.9,,0,0.0,Alto,11.4,en_riesgo
16.2,90.5,8.1,1,25.0,Alto,14.4,aprobado
1.8,76.9,,0,0.0,Bajo,11.7,en_riesgo
8.6,41.8,9.4,1,37.0,Alto,9.1,reprobado
21.2,95.8,8.2,0,0.0,Alto,16.4,aprobado
23.9,58.2,7.9,0,0.0,Medio,15.9,aprobado
12.4,62.5,16.1,0,0.0,Medio,14.2,aprobado
10.6,87.6,8.9,1,21.0,Bajo,12.7,en_riesgo
,82.4,7.9,0,0.0,Bajo,9.6,reprobado
17.4,89.5,11.4,1,15.0,Alto,16.3,aprobado
26.9,76.3,18.8,0,0.0,Alto,20.0,aprobado
,87.9,12.2,1,39.0,Bajo,13.1,en_riesgo
29.6,65.0,17.8,0,0.0,Medio,20.0,aprobado
24.0,83.5,7.1,0,0.0,Medio,14.1,aprobado
5.6,79.3,10.2,0,0.0,Medio,10.3,reprobado
7.3,59.2,19.5,1,22.0,Medio,12.5,en_riesgo
29.8,59.2,13.1,0,0.0,Bajo,18.0,aprobado
8.8,75.1,6.3,1,35.0,Medio,8.2,reprobado
9.2,42.2,18.4,0,0.0,ALTO,14.8,aprobado
5.8,50.0,,0,0.0,Bajo,12.0,en_riesgo
18.3,62.0,5.8,1,32.0,Medio,9.0,reprobado
15.5,92.3,10.1,1,47.0,Bajo,12.7,en_riesgo
26.3,90.4,9.7,0,0.0,Bajo,17.0,aprobado
22.1,93.0,12.7,1,11.0,Alto,17.1,aprobado
15.5,66.7,9.0,1,28.0,Medio,11.6,en_riesgo
,42.1,,1,14.0,Medio,14.5,aprobado
2.1,63.0,12.1,0,0.0,Medio,10.6,reprobado
10.4,73.8,6.8,1,29.0,Medio,10.1,reprobado
1.7,66.9,6.8,0,0.0,Alto,7.0,reprobado
,79.0,10.7,0,0.0,Bajo,7.5,reprobado
,53.8,11.1,1,34.0,Medio,9.9,reprobado
23.9,77.6,6.6,1,46.0,Bajo,11.7,en_riesgo
,89.0,7.4,0,0.0,Medio,12.4,en_riesgo
27.6,52.1,14.7,1,29.0,Medio,18.3,aprobado
20.4,57.3,8.7,1,15.0,Alto,14.9,aprobado
2.2,97.5,10.0,0,0.0,Bajo,8.9,reprobado
29.7,52.8,10.9,0,0.0,Medio,15.9,aprobado
17.8,73.2,18.3,0,0.0,Medio,15.3,aprobado
3.3,72.4,13.6,0,0.0,Bajo,9.6,reprobado
5.5,99.0,9.4,0,0.0,Bajo,11.3,en_riesgo
20.3,44.1,17.0,1,34.0,Medio,12.2,en_riesgo
21.3,92.8,12.5,0,0.0,Bajo,17.3,aprobado
29.2,85.9,7.3,1,37.0,Medio,14.8,aprobado
6.9,68.2,11.2,1,41.0,Medio,9.1,reprobado
4.3,54.0,11.8,0,0.0,Alto,9.8,reprobado
13.2,64.9,19.1,0,0.0,Bajo,14.6,aprobado
25.7,90.8,9.5,1,32.0,Medio,15.7,aprobado
26.9,70.4,5.5,0,0.0,Bajo,16.1,aprobado
,45.8,14.4,1,30.0,Medio,13.8,en_riesgo
16.2,42.0,,1,22.0,Medio,15.5,aprobado
28.3,40.2,8.9,0,0.0,bajo,12.8,en_riesgo
19.0,58.6,9.4,0,0.0,Medio,13.1,en_riesgo
5.4,91.2,,1,12.0,Alto,11.9,en_riesgo
24.8,72.6,11.1,0,0.0,Medio,17.3,aprobado
12.3,61.9,19.6,0,0.0,Bajo,15.1,aprobado
15.1,86.4,14.2,0,0.0,Bajo,14.4,aprobado
14.2,97.8,15.3,1,9.0,Medio,17.0,aprobado
15.2,51.4,17.6,0,0.0,MEDIO,16.0,aprobado
30.0,93.2,14.5,1,23.0,Alto,20.0,aprobado
,92.1,8.6,1,41.0,Medio,14.2,aprobado
2.6,89.8,14.3,1,32.0,Alto,10.6,reprobado
27.4,82.3,7.7,1,44.0,Bajo,14.6,aprobado
28.1,88.5,9.7,1,45.0,Medio,15.4,aprobado
26.4,74.3,6.1,0,0.0,Bajo,13.1,en_riesgo
17.2,71.9,8.5,0,0.0,Bajo,11.2,en_riesgo
16.3,55.9,15.4,1,32.0,Medio,12.0,en_riesgo
10.7,96.7,17.5,0,0.0,Medio,17.2,aprobado
,74.8,12.8,1,12.0,Alto,16.0,aprobado
27.0,56.6,15.6,1,20.0,Medio,13.8,en_riesgo
4.8,98.4,11.2,1,27.0,Alto,11.1,en_riesgo
,55.5,5.0,1,30.0,Bajo,11.7,en_riesgo
24.7,72.9,9.1,0,0.0,Medio,14.7,aprobado
10.6,87.8,10.6,0,0.0,Alto,12.1,en_riesgo
13.7,63.2,11.5,0,0.0,alto,14.4,aprobado
7.5,50.3,10.5,0,0.0,Bajo,11.1,en_riesgo
19.6,98.8,18.2,1,13.0,Bajo,20.0,aprobado
12.0,77.3,16.5,1,34.0,Medio,12.7,en_riesgo
28.5,56.7,16.7,1,47.0,Medio,20.0,aprobado
16.0,84.4,12.6,1,31.0,Medio,12.7,en_riesgo
24.5,92.7,19.1,1,20.0,Bajo,20.0,aprobado
14.5,94.7,,1,43.0,Medio,10.8,reprobado
3.1,76.8,7.9,0,0.0,Bajo,8.6,reprobado
8.1,52.9,11.4,0,0.0,Bajo,10.5,reprobado
1.3,77.3,8.2,0,0.0,Medio,9.4,reprobado
17.7,88.1,9.8,0,0.0,Medio,14.2,aprobado
,73.5,,0,0.0,Bajo,15.0,aprobado
12.8,96.2,15.2,0,0.0,Medio,18.1,aprobado
25.0,89.4,16.0,0,0.0,MEDIO,20.0,aprobado
11.3,86.4,8.5,0,0.0,Medio,10.0,reprobado
21.2,46.6,5.8,1,31.0,Medio,10.8,reprobado
7.1,75.3,6.4,1,11.0,Medio,9.1,reprobado
27.3,82.5,13.6,1,33.0,Medio,16.6,aprobado
,69.3,12.7,0,0.0,Alto,18.5,aprobado
24.8,71.7,9.0,1,44.0,Medio,14.7,aprobado
,67.9,13.2,0,0.0,Bajo,19.4,aprobado
23.0,95.8,17.0,0,0.0,Alto,19.8,aprobado
7.6,83.5,,0,0.0,Medio,6.6,reprobado
26.3,83.4,14.4,0,0.0,Medio,19.1,aprobado
15.3,72.9,13.2,1,27.0,Medio,13.3,en_riesgo
21.6,49.7,18.3,0,0.0,Medio,17.0,aprobado
22.4,81.0,15.7,0,0.0,Medio,16.6,aprobado
9.1,44.9,16.2,1,45.0,Alto,14.4,aprobado
9.6,74.5,9.1,0,0.0,Alto,12.0,en_riesgo
1.4,41.2,7.7,0,0.0,Alto,7.2,reprobado
21.4,74.9,13.7,0,0.0,Alto,17.9,aprobado
,56.8,17.4,1,40.0,Medio,13.3,en_riesgo
29.3,66.6,12.4,1,26.0,Bajo,16.7,aprobado
23.9,65.1,12.6,1,0.0,Bajo,14.2,aprobado
24.7,97.6,19.1,1,14.0,alto,19.5,aprobado
18.6,82.4,10.4,1,39.0,Medio,12.0,en_riesgo
3.4,72.2,7.1,0,0.0,Alto,10.5,reprobado
28.1,48.3,13.1,1,26.0,Medio,15.4,aprobado
10.7,54.7,15.6,1,9.0,Medio,12.9,en_riesgo
7.8,96.7,10.7,0,0.0,Medio,12.2,en_riesgo
7.6,81.2,14.1,0,0.0,Medio,15.4,aprobado
25.9,85.4,8.3,1,14.0,Alto,15.3,aprobado
24.7,47.5,17.2,0,0.0,Medio,17.2,aprobado
19.8,69.3,16.6,0,0.0,Alto,17.6,aprobado
1.3,60.7,18.4,0,0.0,Medio,11.2,en_riesgo
18.2,61.2,9.8,1,15.0,Alto,11.9,en_riesgo
21.5,50.2,,1,0.0,Bajo,11.6,en_riesgo
2.4,85.1,6.2,1,44.0,Medio,7.7,reprobado
23.5,80.0,18.1,0,0.0,Medio,20.0,aprobado
10.6,68.1,11.2,1,11.0,Bajo,12.1,en_riesgo
11.5,48.9,7.0,0,0.0,Alto,11.6,en_riesgo
11.9,70.5,16.6,1,29.0,Medio,15.1,aprobado
27.8,65.4,18.1,0,0.0,Medio,18.1,aprobado
13.4,75.6,6.2,0,0.0,Medio,9.7,reprobado
6.9,71.3,8.9,0,0.0,Medio,11.1,en_riesgo
,99.1,8.2,1,38.0,Medio,9.0,reprobado
10.1,73.7,7.2,1,14.0,Alto,10.8,reprobado
16.2,63.1,10.0,1,24.0,Medio,10.2,reprobado
13.7,53.0,9.0,0,0.0,Bajo,10.1,reprobado
19.5,63.9,17.5,1,0.0,Bajo,16.4,aprobado
23.3,52.1,18.9,1,47.0,Medio,14.2,aprobado
17.1,70.7,,0,0.0,Medio,14.8,aprobado
15.5,67.5,8.9,0,0.0,Bajo,13.8,en_riesgo
21.7,75.7,10.6,1,13.0,Bajo,14.1,aprobado
24.4,69.2,5.8,0,0.0,Bajo,14.1,aprobado
6.3,67.5,8.1,1,45.0,Medio,7.5,reprobado
24.5,82.4,6.3,1,42.0,Medio,12.5,en_riesgo
8.4,83.2,5.8,0,0.0,Medio,12.1,en_riesgo
29.3,59.0,,0,0.0,Bajo,18.1,aprobado
1.4,60.8,8.5,0,0.0,Medio,9.7,reprobado
8.9,74.6,19.2,1,28.0,Medio,15.8,aprobado
8.4,87.5,16.8,0,0.0,Bajo,14.7,aprobado
27.1,99.7,,1,18.0,Bajo,20.0,aprobado
2.2,45.4,18.4,0,0.0,Alto,13.2,en_riesgo
20.0,74.8,,0,0.0,Medio,17.9,aprobado
14.7,61.2,11.5,0,0.0,MEDIO,12.6,en_riesgo
26.7,61.6,,1,26.0,bajo,18.5,aprobado
23.4,44.0,11.0,0,0.0,Medio,16.7,aprobado
19.4,60.8,5.6,0,0.0,Bajo,12.1,en_riesgo
12.3,51.2,18.6,0,0.0,Medio,16.5,aprobado
29.1,78.1,,0,0.0,Medio,20.0,aprobado
20.1,95.6,16.6,0,0.0,Bajo,17.1,aprobado
1.5,51.5,13.9,1,28.0,Bajo,8.4,reprobado
23.4,94.2,14.8,0,0.0,Medio,18.1,aprobado
18.3,41.7,19.5,0,0.0,Medio,19.0,aprobado
10.5,69.2,13.1,0,0.0,Medio,12.2,en_riesgo
,69.6,14.9,0,0.0,Medio,13.0,en_riesgo
19.5,83.1,,1,33.0,Medio,16.9,aprobado
18.3,68.5,18.5,0,0.0,Bajo,16.4,aprobado
3.1,68.9,10.4,1,39.0,Alto,10.2,reprobado
26.2,69.0,18.1,0,0.0,Medio,20.0,aprobado
18.9,52.5,10.6,1,15.0,Alto,15.2,aprobado
2.8,47.8,16.4,1,46.0,MEDIO,9.5,reprobado
7.8,83.9,16.2,0,0.0,Bajo,15.3,aprobado
7.4,84.2,7.1,0,0.0,Alto,12.2,en_riesgo
5.3,52.4,5.0,0,0.0,Bajo,6.5,reprobado
5.7,68.0,16.6,0,0.0,Bajo,13.7,en_riesgo
4.5,48.9,,1,17.0,Bajo,7.6,reprobado
27.8,73.3,16.3,1,41.0,Alto,20.0,aprobado
18.5,55.0,17.7,1,28.0,Alto,15.1,aprobado
5.8,94.5,16.7,1,23.0,Bajo,11.6,en_riesgo
13.8,65.5,,0,0.0,Medio,14.5,aprobado
,47.5,13.4,0,0.0,Bajo,13.6,en_riesgo
17.2,48.7,19.6,0,0.0,Alto,18.0,aprobado
23.0,58.2,16.0,1,30.0,Medio,15.2,aprobado
26.1,88.8,9.2,0,0.0,Medio,17.4,aprobado
17.9,54.1,7.4,1,34.0,Bajo,9.3,reprobado
13.3,56.7,18.8,0,0.0,Medio,16.2,aprobado
7.9,95.8,13.6,1,43.0,Medio,13.2,en_riesgo
9.3,53.5,9.1,1,41.0,Bajo,7.8,reprobado
,58.5,8.6,0,0.0,Bajo,10.1,reprobado
4.7,88.9,15.1,0,0.0,Medio,12.9,en_riesgo
5.2,65.7,6.6,0,0.0,Medio,8.2,reprobado
29.7,77.3,17.3,1,18.0,Bajo,20.0,aprobado
23.2,80.7,8.4,1,34.0,Medio,14.0,aprobado
25.6,89.5,10.7,0,0.0,Alto,18.2,aprobado
,62.6,10.5,0,0.0,Medio,8.1,reprobado
14.2,95.0,6.3,1,23.0,Medio,11.1,en_riesgo
,90.5,13.2,0,0.0,Medio,13.5,en_riesgo
,98.1,8.8,1,0.0,Medio,10.0,reprobado
3.9,94.8,8.8,1,17.0,Medio,9.0,reprobado
11.1,45.3,18.5,1,12.0,Medio,14.1,aprobado
9.1,45.5,,0,0.0,Bajo,10.3,reprobado
24.4,97.2,12.3,1,19.0,Bajo,16.5,aprobado
15.7,73.5,9.6,1,27.0,Bajo,9.1,reprobado
4.4,97.9,13.6,0,0.0,Alto,15.2,aprobado
9.5,55.8,15.2,0,0.0,Bajo,12.8,en_riesgo
,42.2,8.3,1,40.0,Medio,9.4,reprobado
1.9,48.0,17.2,1,14.0,Alto,11.8,en_riesgo
20.0,59.4,9.1,0,0.0,Bajo,12.2,en_riesgo
12.4,49.4,15.6,0,0.0,Medio,13.6,en_riesgo
8.6,66.6,13.8,0,0.0,Bajo,13.1,en_riesgo
18.4,71.2,11.3,0,0.0,Bajo,14.7,aprobado
10.7,51.2,17.8,0,0.0,Bajo,14.9,aprobado
25.9,44.9,7.3,1,38.0,Bajo,11.1,en_riesgo
,94.1,19.0,0,0.0,Medio,13.7,en_riesgo
11.9,87.3,18.0,0,0.0,Medio,17.4,aprobado
20.2,90.6,8.6,1,8.0,Bajo,11.6,en_riesgo
5.7,43.9,11.4,1,25.0,Alto,7.2,reprobado
24.2,91.2,18.8,0,0.0,Medio,19.4,aprobado
6.9,74.6,6.0,0,0.0,Bajo,6.4,reprobado
5.5,76.2,9.9,0,0.0,MEDIO,8.7,reprobado
12.1,54.1,9.3,1,16.0,medio,11.2,en_riesgo
7.0,98.5,16.7,0,0.0,Medio,13.7,en_riesgo
3.0,93.3,11.3,0,0.0,Medio,13.2,en_riesgo
,66.3,11.7,0,0.0,Bajo,15.8,aprobado
21.0,52.0,,0,0.0,Medio,13.3,en_riesgo
,46.5,5.3,1,34.0,Medio,2.6,reprobado
20.8,72.9,,0,0.0,Bajo,15.8,aprobado
17.2,64.4,16.0,0,0.0,Medio,15.9,aprobado
18.3,43.1,18.1,1,34.0,Medio,16.6,aprobado
12.6,46.4,15.7,0,0.0,Medio,12.2,en_riesgo
12.8,64.6,,0,0.0,Bajo,11.0,en_riesgo
25.1,89.3,12.3,0,0.0,Medio,17.3,aprobado
27.9,66.0,5.8,0,0.0,ALTO,14.2,aprobado
14.5,57.6,17.5,1,11.0,alto,17.9,aprobado
,99.3,18.8,1,13.0,Bajo,13.8,en_riesgo
12.8,59.6,,0,0.0,Bajo,14.5,aprobado
28.4,59.5,16.0,0,0.0,Medio,18.1,aprobado
15.5,84.2,18.6,1,36.0,Alto,18.0,aprobado
24.3,69.5,13.0,0,0.0,Alto,19.4,aprobado
5.6,44.2,,0,0.0,Medio,9.0,reprobado
6.3,79.0,16.8,1,24.0,Alto,13.0,en_riesgo
15.6,79.8,9.4,1,41.0,Bajo,12.6,en_riesgo
,57.4,19.1,0,0.0,Alto,16.6,aprobado
26.4,62.7,10.0,0,0.0,Bajo,15.1,aprobado
16.1,71.1,5.3,1,13.0,Medio,10.4,reprobado
28.1,54.4,5.6,1,10.0,Medio,13.3,en_riesgo
11.7,48.8,8.7,0,0.0,Medio,9.7,reprobado
8.5,86.2,17.3,1,41.0,MEDIO,12.4,en_riesgo
9.2,79.1,5.4,1,42.0,Medio,5.1,reprobado
28.9,50.4,9.0,0,0.0,Bajo,14.3,aprobado
