ciudad,temperatura_c,humedad_pct,velocidad_viento_kmh,num_vehiculos_zona,nivel_pm25,indice_calidad_aire,nivel_alerta
Arequipa,15.3,42.1,18.6,37357.0,61.2,259.4,danino
Trujillo,19.6,78.3,2.2,8251.0,123.16,308.3,danino
Cusco,13.1,30.8,26.4,30953.0,49.86,193.4,danino
Arequipa,22.0,,37.1,6030.0,52.96,141.4,danino
Trujillo,16.2,46.1,28.1,25328.0,29.64,165.7,danino
Trujillo,33.5,50.4,29.8,36874.0,71.41,300.9,danino
Trujillo,18.4,,20.2,7952.0,68.57,192.0,danino
Lima,25.8,92.2,24.1,21544.0,127.62,366.8,danino
Trujillo,29.1,53.7,4.9,25314.0,70.61,277.9,danino
Cusco,12.5,,5.5,21304.0,27.82,154.4,danino
Arequipa,21.9,92.2,26.2,48596.0,144.11,450.8,danino
Lima,18.5,63.6,31.8,38493.0,57.39,285.7,danino
Arequipa,15.9,89.1,27.0,40468.0,24.85,212.0,danino
Trujillo,11.0,33.4,14.3,40891.0,22.56,211.9,danino
Piura,14.2,81.0,28.5,47122.0,79.63,303.6,danino
Piura,20.3,84.7,32.2,1394.0,36.24,89.6,moderado
Trujillo,23.6,85.6,22.5,38251.0,97.89,319.7,danino
TRUJILLO,28.9,71.4,13.4,13436.0,121.93,324.7,danino
Lima,13.6,53.4,33.7,31656.0,48.34,210.1,danino
Lima,24.2,71.5,5.2,21980.0,105.17,343.2,danino
Cusco,12.5,85.5,34.2,35323.0,73.39,241.7,danino
Cusco,25.1,78.2,26.5,18844.0,34.66,151.1,danino
Cusco,14.1,64.3,13.3,46862.0,73.55,308.4,danino
Cusco,27.7,59.3,36.7,11207.0,17.14,96.1,moderado
Arequipa,23.7,70.4,7.0,48624.0,16.64,258.2,danino
Piura,13.4,80.2,13.9,301902.0,,183.6,danino
Cusco,18.4,53.6,27.8,33265.0,70.33,247.9,danino
Arequipa,29.5,83.0,7.1,43823.0,100.23,383.6,danino
Arequipa,24.4,42.7,4.3,44451.0,73.45,346.2,danino
Piura,32.5,69.0,2.2,15741.0,22.96,169.7,danino
Lima,25.9,42.1,39.1,45916.0,15.9,220.7,danino
Lima,24.3,89.3,20.7,12182.0,74.7,232.1,danino
Lima,20.7,72.4,22.8,39410.0,31.47,241.6,danino
Cusco,13.4,81.4,29.7,23527.0,99.06,257.3,danino
Cusco,10.2,67.6,2.3,34159.0,94.55,308.9,danino
Piura,17.2,,12.9,30579.0,57.77,224.3,danino
Piura,15.1,72.9,7.6,6018.0,24.47,116.5,danino
Cusco,23.3,88.5,12.8,28897.0,43.69,191.3,danino
Piura,28.9,45.5,19.6,44532.0,66.18,297.8,danino
Trujillo,16.2,49.2,25.5,43376.0,13.79,187.4,danino
Piura,27.9,79.5,2.9,22666.0,5.3,145.6,danino
Lima,10.1,36.4,30.6,3097.0,54.99,155.4,danino
Lima,30.3,56.8,29.6,9688.0,71.41,228.6,danino
LIMA,33.6,48.6,19.5,46200.0,86.93,365.7,danino
Piura,13.3,84.5,4.5,15426.0,146.27,358.6,danino
Trujillo,29.8,80.8,3.4,5824.0,109.68,289.3,danino
Trujillo,27.0,79.1,26.6,18209.0,62.5,217.6,danino
Piura,29.9,57.0,38.5,22051.0,96.21,260.1,danino
Lima,29.9,80.8,30.2,14176.0,25.04,150.1,danino
Cusco,23.7,73.1,4.0,34407.0,33.59,206.7,danino
Cusco,10.8,75.1,10.2,34738.0,83.7,284.6,danino
Lima,33.4,86.5,5.2,35603.0,49.24,298.6,danino
Arequipa,19.9,67.2,12.4,36837.0,68.73,292.7,danino
Arequipa,16.9,,26.2,22926.0,96.7,301.0,danino
Arequipa,33.9,,26.0,37125.0,131.17,385.7,danino
Trujillo,14.5,78.4,13.1,26329.0,124.73,340.4,danino
Cusco,25.9,55.7,23.1,8218.0,86.9,199.2,danino
Lima,25.9,,23.4,369101.0,120.98,318.6,danino
Arequipa,25.7,31.0,3.2,18712.0,83.43,282.0,danino
Trujillo,33.9,69.8,7.3,33722.0,125.16,382.4,danino
Trujillo,34.5,82.9,24.7,34637.0,72.85,287.2,danino
Cusco,12.9,39.1,19.8,9306.0,136.61,297.3,danino
Trujillo,29.3,89.2,25.4,47664.0,130.65,417.5,danino
Piura,15.5,73.3,35.9,33152.0,115.36,338.2,danino
Cusco,19.0,72.0,6.7,33134.0,,185.4,danino
Lima,33.4,92.2,32.4,15984.0,113.65,321.3,danino
Arequipa,11.2,52.9,37.6,12155.0,69.7,193.3,danino
Trujillo,26.8,87.7,10.9,44026.0,114.4,408.0,danino
Lima,27.3,41.5,2.4,39448.0,19.41,247.7,danino
Arequipa,24.2,63.5,33.2,9783.0,22.19,95.7,moderado
Piura,20.7,43.1,39.3,1165.0,44.88,92.9,moderado
Trujillo,34.0,91.2,21.3,40128.0,70.3,306.8,danino
Trujillo,24.1,74.2,13.3,10217.0,136.4,323.7,danino
trujillo,33.0,32.2,25.2,41494.0,86.15,320.8,danino
Piura,30.1,94.0,17.9,2257.0,,143.2,danino
Lima,11.0,81.8,32.8,19366.0,75.92,244.5,danino
Trujillo,12.2,36.6,4.9,44275.0,41.73,278.5,danino
Piura,28.4,41.6,15.6,912.0,53.57,156.2,danino
Arequipa,15.3,82.0,13.2,3278.0,145.91,344.1,danino
Piura,19.9,,29.4,1411.0,25.54,90.0,moderado
Piura,14.5,56.0,8.4,45513.0,127.17,400.2,danino
Piura,24.2,72.4,35.6,12367.0,107.51,262.6,danino
Arequipa,29.6,48.3,4.4,27383.0,139.25,404.0,danino
Piura,32.6,61.1,12.8,32375.0,49.79,245.5,danino
Lima,24.2,92.8,32.3,24732.0,88.47,290.8,danino
Lima,29.9,,27.0,25592.0,112.8,335.2,danino
Cusco,11.2,32.4,36.4,28694.0,49.95,168.7,danino
Trujillo,19.3,36.1,4.3,246519.0,29.08,177.8,danino
Piura,26.1,45.0,22.3,29541.0,99.71,284.3,danino
Piura,24.4,72.6,30.5,27338.0,13.24,135.8,danino
Piura,28.3,,11.6,28987.0,40.34,224.5,danino
Lima,29.4,91.3,33.1,43459.0,31.55,223.9,danino
Piura,10.5,45.1,28.3,14763.0,56.62,157.4,danino
Arequipa,30.9,68.5,7.2,36265.0,74.2,312.5,danino
Cusco,17.3,74.2,19.4,28662.0,27.03,162.6,danino
Piura,24.1,,19.7,17273.0,8.95,109.1,danino
Lima,29.2,52.1,9.0,2853.0,119.19,298.0,danino
Arequipa,18.4,52.2,8.9,25817.0,40.03,208.7,danino
Cusco,14.4,73.6,23.9,1404.0,44.9,91.0,moderado
Cusco,21.0,81.5,38.7,24567.0,91.1,249.3,danino
Trujillo,34.0,87.8,29.3,9151.0,88.05,205.6,danino
Trujillo,30.8,91.3,6.2,48736.0,128.2,431.6,danino
Cusco,15.1,74.2,9.9,31358.0,14.93,151.1,danino
Trujillo,34.1,76.8,27.7,4654.0,15.19,97.5,moderado
Trujillo,33.6,72.4,29.3,43059.0,27.19,218.0,danino
Cusco,27.0,82.8,35.2,48718.0,18.63,194.6,danino
piura,16.8,85.6,19.4,12343.0,146.53,323.3,danino
Lima,29.8,62.4,26.9,15332.0,86.24,266.2,danino
Trujillo,17.4,49.5,15.5,6736.0,130.48,293.3,danino
Piura,31.2,72.2,34.7,20023.0,24.91,132.1,danino
Arequipa,13.1,80.2,23.4,29201.0,46.78,200.3,danino
Lima,33.4,,27.2,40433.0,77.44,324.2,danino
Piura,17.0,83.4,38.1,14307.0,110.52,251.3,danino
Lima,20.2,67.0,36.0,4966.0,31.61,125.2,danino
Arequipa,19.5,90.9,21.2,29528.0,,391.3,danino
Piura,10.1,93.6,39.4,20760.0,49.42,172.3,danino
Trujillo,11.4,,31.1,4019.0,47.25,122.1,danino
Lima,26.1,46.7,24.2,4828.0,54.07,188.2,danino
Lima,32.5,48.9,39.9,24934.0,86.3,283.5,danino
Trujillo,32.5,94.0,7.1,5426.0,52.39,177.7,danino
Trujillo,32.2,77.6,7.5,12827.0,35.28,162.0,danino
Piura,31.3,40.8,13.9,24202.0,62.65,231.7,danino
Trujillo,25.0,48.1,4.8,24995.0,28.62,182.2,danino
Trujillo,19.6,59.8,39.5,25049.0,129.21,313.4,danino
Cusco,13.9,52.0,39.6,27776.0,101.15,259.8,danino
Cusco,17.1,37.1,33.8,18805.0,105.77,234.6,danino
Arequipa,12.6,55.4,34.0,9224.0,149.96,326.9,danino
Arequipa,14.7,72.9,13.7,8090.0,24.41,121.4,danino
Arequipa,12.4,76.5,16.5,39760.0,,194.8,danino
Piura,31.5,38.9,12.0,24674.0,73.31,242.5,danino
Cusco,16.8,37.7,28.0,1354.0,24.81,68.6,moderado
Arequipa,10.9,36.1,13.7,8865.0,26.29,112.2,danino
Cusco,13.1,40.9,20.6,3685.0,63.16,130.1,danino
Arequipa,30.5,75.4,15.0,20857.0,74.44,248.4,danino
Cusco,24.4,68.9,23.9,40378.0,67.57,264.3,danino
Piura,16.1,32.7,3.1,2360.0,78.35,210.4,danino
Trujillo,33.0,52.6,19.4,48848.0,136.02,448.1,danino
Cusco,30.0,57.6,2.8,48670.0,96.86,394.8,danino
Cusco,33.9,54.1,23.8,26243.0,30.58,170.0,danino
Piura,11.9,83.3,14.0,21362.0,44.7,188.9,danino
Arequipa,22.9,92.3,2.5,273260.0,129.04,354.9,danino
Arequipa,23.6,57.9,33.2,4669.0,67.39,165.1,danino
Cusco,27.3,46.2,16.1,20023.0,,232.3,danino
Trujillo,18.1,52.7,15.5,26104.0,149.32,403.6,danino
Lima,25.9,53.8,27.1,39268.0,19.19,211.3,danino
Arequipa,22.8,,10.3,15555.0,5.78,127.6,danino
Cusco,32.3,40.3,13.2,17529.0,40.02,172.0,danino
Arequipa,27.6,45.8,24.2,15067.0,67.58,204.9,danino
Cusco,24.0,68.5,16.6,49223.0,10.14,188.3,danino
Trujillo,32.0,71.2,19.1,268246.0,18.17,229.5,danino
Cusco,26.2,74.0,33.9,15746.0,,159.9,danino
Cusco,33.8,94.2,35.5,39568.0,30.04,206.8,danino
Trujillo,26.9,81.6,4.6,40179.0,8.45,205.1,danino
Cusco,13.0,76.0,32.4,38150.0,69.08,270.4,danino
Arequipa,20.0,,11.6,42492.0,78.02,337.7,danino
AREQUIPA,24.5,,33.2,20760.0,78.28,254.9,danino
Trujillo,27.3,70.3,28.3,7890.0,101.62,239.5,danino
Piura,13.4,56.0,29.0,49129.0,46.34,243.3,danino
Piura,17.5,84.7,7.9,2575.0,13.64,110.1,danino
Lima,27.9,,20.2,580.0,131.67,297.6,danino
Piura,25.0,79.8,6.3,41774.0,98.4,353.6,danino
Piura,20.9,74.8,31.2,33559.0,50.47,219.7,danino
Trujillo,22.8,69.9,4.3,14926.0,120.96,318.7,danino
Cusco,14.6,39.1,26.8,18756.0,6.36,96.3,moderado
Lima,17.7,65.3,29.6,6483.0,10.68,88.3,moderado
Cusco,24.4,78.5,28.0,8487.0,18.34,72.0,moderado
Trujillo,31.1,74.5,28.7,34553.0,65.49,276.8,danino
Lima,19.2,58.3,19.2,1015.0,22.02,115.8,danino
Trujillo,26.2,,8.7,40566.0,149.74,446.1,danino
Lima,27.9,30.9,11.0,31019.0,51.68,260.5,danino
Arequipa,31.1,71.9,9.4,15991.0,142.98,392.3,danino
Arequipa,29.8,42.2,13.8,30111.0,73.39,281.0,danino
Piura,11.0,54.6,5.9,9246.0,147.5,352.1,danino
Cusco,16.8,82.1,21.0,44273.0,27.5,218.4,danino
Trujillo,33.1,59.6,4.8,32249.0,,327.0,danino
Trujillo,22.7,77.8,17.8,23358.0,56.81,215.5,danino
Piura,22.5,43.1,33.8,39604.0,64.42,249.2,danino
Arequipa,28.7,,20.3,19287.0,61.43,239.5,danino
Arequipa,15.8,52.8,18.4,39977.0,88.53,331.3,danino
Trujillo,11.7,42.1,26.0,25237.0,39.42,182.9,danino
Trujillo,17.1,49.6,23.9,3387.0,35.72,114.8,danino
Cusco,10.7,45.3,30.8,30428.0,121.71,342.2,danino
Arequipa,13.7,59.9,20.9,28822.0,8.7,146.3,danino
Arequipa,11.0,67.2,35.1,37941.0,,182.6,danino
Lima,23.7,34.0,23.3,14419.0,137.74,352.8,danino
Arequipa,28.9,47.6,3.5,47785.0,101.65,393.3,danino
Lima,30.3,64.0,17.6,32185.0,141.69,419.3,danino
Cusco,25.4,50.1,36.0,38670.0,39.76,200.6,danino
Arequipa,32.4,31.3,12.7,19991.0,24.02,150.8,danino
Cusco,29.3,74.1,5.8,26759.0,37.17,202.2,danino
Cusco,29.1,68.7,4.9,17843.0,78.79,251.9,danino
Cusco,10.5,76.3,16.1,27936.0,147.6,388.0,danino
Lima,16.0,88.4,35.7,36054.0,122.31,360.6,danino
Trujillo,24.5,53.0,15.6,30047.0,89.77,303.9,danino
Trujillo,16.9,,14.7,16410.0,24.25,146.2,danino
Arequipa,10.1,37.2,27.2,2384.0,77.78,190.6,danino
Arequipa,32.5,,7.2,14212.0,102.72,304.2,danino
Trujillo,21.4,89.9,25.5,35874.0,96.31,312.2,danino
TRUJILLO,17.5,37.5,21.0,33141.0,24.79,183.3,danino
Piura,17.7,59.8,23.6,4827.0,70.54,185.8,danino
Arequipa,20.5,38.0,35.1,26954.0,124.51,330.7,danino
Piura,27.3,35.8,2.0,37396.0,63.94,290.8,danino
lima,23.1,61.4,19.2,45300.0,135.11,457.1,danino
Lima,33.3,57.0,28.8,3162.0,79.68,228.3,danino
PIURA,12.3,45.1,35.0,10516.0,14.27,97.3,moderado
Arequipa,28.1,39.2,15.5,11446.0,41.46,168.2,danino
Cusco,18.8,82.7,20.9,31968.0,71.55,258.9,danino
Cusco,20.2,94.1,12.2,31999.0,32.11,185.6,danino
Cusco,26.4,38.4,12.4,13326.0,35.03,152.0,danino
Lima,13.8,,37.1,32167.0,70.17,265.4,danino
Arequipa,28.8,49.2,26.9,13160.0,20.93,119.4,danino
Trujillo,15.8,73.3,27.6,23295.0,28.97,164.1,danino
Trujillo,31.0,49.1,31.1,31404.0,52.53,218.6,danino
Arequipa,29.0,77.3,8.4,39030.0,141.08,436.2,danino
AREQUIPA,23.3,68.3,19.0,19301.0,,282.6,danino
LIMA,20.6,45.4,16.1,3765.0,52.37,179.5,danino
Piura,22.1,42.3,8.0,17678.0,65.64,223.0,danino
Lima,14.4,77.3,6.1,7188.0,111.37,300.5,danino
Arequipa,30.1,51.8,35.9,301735.0,98.14,288.5,danino
Arequipa,13.7,91.1,21.1,40350.0,86.81,334.2,danino
Arequipa,12.1,85.4,15.7,48612.0,6.41,190.2,danino
Cusco,21.6,32.7,5.4,28030.0,45.35,218.0,danino
Arequipa,19.0,69.6,29.9,43305.0,,213.7,danino
Piura,17.9,37.8,8.6,16875.0,102.67,281.8,danino
Trujillo,12.4,80.8,35.0,23897.0,7.95,124.4,danino
Cusco,14.3,70.6,35.8,19682.0,137.97,314.2,danino
Arequipa,28.0,75.9,22.7,44644.0,65.55,302.9,danino
Cusco,21.3,82.5,19.4,37261.0,22.13,182.3,danino
Piura,33.1,54.7,37.3,35016.0,35.05,210.5,danino
Lima,18.2,42.7,6.5,44899.0,17.88,253.6,danino
Piura,18.3,81.6,29.7,8154.0,61.06,156.6,danino
Cusco,21.8,68.2,27.4,46683.0,132.5,402.0,danino
Arequipa,10.5,56.2,32.6,9980.0,66.07,196.3,danino
Piura,19.4,51.1,10.3,40650.0,,191.2,danino
Trujillo,23.2,72.6,18.8,20557.0,71.13,250.9,danino
Trujillo,23.6,85.8,17.4,44530.0,105.31,364.6,danino
Lima,27.6,82.4,10.9,40918.0,60.38,333.7,danino
Trujillo,11.9,91.3,34.9,2916.0,108.03,219.8,danino
Arequipa,17.8,56.1,16.7,22930.0,131.0,357.3,danino
Lima,29.1,83.8,4.8,17202.0,145.51,417.7,danino
Arequipa,12.2,32.6,9.8,42752.0,25.3,232.4,danino
Cusco,15.5,87.6,12.7,15829.0,7.17,111.7,danino
Arequipa,15.5,76.2,26.7,20107.0,105.43,283.2,danino
Cusco,24.3,31.4,15.1,28765.0,67.87,241.4,danino
Lima,26.7,,23.4,3495.0,47.72,176.6,danino
Lima,18.8,45.6,28.6,7181.0,90.01,252.4,danino
Piura,20.5,69.7,13.3,8072.0,27.58,121.5,danino
Lima,26.0,80.3,18.5,1197.0,36.0,118.4,danino
Piura,20.7,83.7,19.4,43204.0,88.85,340.6,danino
Piura,21.9,66.1,19.0,44243.0,144.24,430.9,danino
Arequipa,24.5,82.6,33.6,6728.0,47.67,130.3,danino
Piura,20.0,73.2,5.6,40911.0,127.55,407.4,danino
Lima,27.5,44.0,2.4,8529.0,44.19,204.2,danino
Cusco,16.9,69.0,17.0,48820.0,134.1,423.6,danino
Arequipa,22.8,47.7,19.5,22564.0,23.26,169.7,danino
Arequipa,28.8,30.1,28.6,15473.0,,328.0,danino
Cusco,11.8,54.9,9.6,6064.0,14.54,84.2,moderado
Piura,32.3,58.3,9.0,22489.0,12.31,132.9,danino
Trujillo,18.0,51.7,26.0,8439.0,75.0,184.6,danino
Cusco,28.5,31.4,22.8,34977.0,87.37,302.8,danino
Trujillo,30.1,80.7,21.0,38609.0,55.1,253.8,danino
Piura,18.0,38.6,5.8,29647.0,104.35,330.4,danino
Arequipa,28.5,31.7,14.1,362253.0,21.35,167.4,danino
Lima,11.2,94.5,28.8,32115.0,18.93,174.9,danino
Cusco,28.2,64.4,17.2,31823.0,7.66,137.2,danino
Trujillo,26.5,,9.1,6743.0,85.28,232.0,danino
Piura,11.0,45.1,10.3,29546.0,51.71,229.9,danino
Trujillo,26.1,38.1,6.0,37407.0,106.05,357.4,danino
Lima,22.4,81.1,20.3,1005.0,42.33,160.9,danino
Cusco,15.1,60.2,35.5,14997.0,128.4,283.7,danino
Arequipa,33.6,79.2,16.9,13363.0,,121.4,danino
Arequipa,14.6,69.0,21.4,30452.0,44.26,230.7,danino
Cusco,21.8,62.5,19.8,827.0,44.9,128.1,danino
Lima,35.0,74.0,32.5,47859.0,146.17,453.8,danino
Arequipa,17.8,,15.5,27307.0,140.44,379.3,danino
Trujillo,22.3,37.4,20.3,3050.0,78.55,173.0,danino
Piura,33.5,80.0,14.5,1432.0,63.56,169.1,danino
Lima,10.7,48.5,18.0,8038.0,128.92,324.3,danino
Arequipa,15.9,,8.1,32316.0,22.51,212.6,danino
Piura,14.8,43.3,32.7,3833.0,120.74,234.0,danino
Lima,18.7,88.6,23.9,18684.0,81.75,241.7,danino
Arequipa,22.1,40.2,20.3,680.0,16.84,83.8,moderado
Cusco,16.4,50.5,17.2,25937.0,,150.5,danino
Piura,29.4,30.1,20.8,47153.0,44.57,265.6,danino
Piura,24.1,76.3,32.8,5168.0,,296.3,danino
Cusco,15.3,51.7,38.7,27966.0,84.59,246.6,danino
Cusco,12.2,52.8,18.1,44115.0,132.25,404.9,danino
Lima,30.2,80.9,10.7,21347.0,,171.3,danino
Arequipa,13.6,91.0,22.8,37303.0,18.09,203.0,danino
Cusco,11.6,79.3,2.1,28592.0,110.05,334.8,danino
Lima,34.3,80.5,24.6,6159.0,90.62,256.1,danino
Trujillo,31.5,34.8,9.7,12819.0,,132.0,danino
Arequipa,25.8,48.7,13.2,4690.0,134.89,315.9,danino
Arequipa,20.2,66.5,32.6,10473.0,132.2,310.9,danino
Piura,15.5,56.4,19.3,29208.0,43.85,194.0,danino
Piura,16.2,,35.6,15235.0,39.04,128.3,danino
Piura,20.9,31.9,8.7,27003.0,54.08,228.5,danino
Lima,22.9,64.7,11.5,8871.0,,159.5,danino
Cusco,27.0,42.5,14.2,27019.0,128.81,350.2,danino
Arequipa,26.1,74.3,7.7,11764.0,68.24,246.8,danino
Arequipa,33.6,40.1,30.2,29409.0,110.81,314.8,danino
Trujillo,18.0,74.4,26.0,14903.0,147.34,353.5,danino
Lima,29.0,66.2,3.9,10490.0,122.27,336.0,danino
Arequipa,27.5,38.6,19.1,42337.0,126.5,424.6,danino
Arequipa,16.9,62.0,5.7,12773.0,39.07,168.1,danino
AREQUIPA,11.5,86.3,39.5,41490.0,147.45,415.1,danino
Trujillo,34.4,44.2,17.0,2655.0,120.6,259.7,danino
Trujillo,25.5,70.0,17.6,8825.0,138.28,338.0,danino
Arequipa,29.8,60.6,6.1,49894.0,97.94,393.5,danino
Lima,25.5,46.1,23.2,42950.0,92.15,372.4,danino
Arequipa,13.9,79.0,19.6,18101.0,68.68,222.8,danino
Trujillo,13.8,73.9,17.7,30645.0,83.6,285.2,danino
Trujillo,15.3,67.8,14.9,22485.0,118.59,338.4,danino
Cusco,17.1,85.6,3.0,38798.0,12.1,189.3,danino
Arequipa,14.5,,9.8,25829.0,106.26,328.6,danino
Arequipa,19.3,83.0,34.8,6531.0,146.49,315.7,danino
Arequipa,23.0,42.9,6.5,26661.0,88.51,308.0,danino
Lima,33.7,85.8,8.3,43192.0,113.56,417.7,danino
Arequipa,13.6,36.2,11.8,45557.0,11.93,210.9,danino
Arequipa,13.0,33.0,11.4,29613.0,116.13,365.6,danino
Piura,14.5,82.1,28.0,21507.0,41.07,177.2,danino
Trujillo,30.0,78.2,11.4,36420.0,143.34,414.9,danino
Arequipa,28.7,31.0,21.5,224473.0,111.67,324.1,danino
Arequipa,12.0,80.6,29.2,8606.0,137.49,315.7,danino
Arequipa,19.0,,2.9,30354.0,112.88,365.1,danino
Trujillo,34.3,94.4,11.7,46006.0,47.23,288.0,danino
Lima,16.4,84.4,11.9,48586.0,32.22,276.8,danino
Piura,33.6,84.0,27.7,2206.0,110.59,247.9,danino
Arequipa,19.7,47.9,19.9,19964.0,122.87,331.6,danino
Lima,27.0,50.5,18.5,42869.0,112.51,403.7,danino
Trujillo,25.5,,19.4,20352.0,59.57,188.0,danino
Piura,13.7,72.5,35.9,8922.0,138.21,297.7,danino
Piura,13.6,88.7,22.5,11297.0,142.86,323.4,danino
Piura,20.4,66.3,13.1,19917.0,78.2,250.4,danino
Trujillo,34.8,33.9,29.2,33879.0,16.5,167.9,danino
Arequipa,34.4,87.1,8.3,19066.0,149.5,401.7,danino
Piura,32.3,53.3,35.4,12254.0,70.56,187.3,danino
Piura,23.9,56.3,18.9,4026.0,52.88,148.6,danino
Cusco,33.0,59.6,19.4,22382.0,7.25,129.4,danino
Arequipa,14.1,34.7,23.0,12949.0,105.8,266.6,danino
Lima,25.1,94.8,27.1,9019.0,61.25,200.6,danino
Lima,16.1,36.2,30.8,19144.0,73.81,265.2,danino
Lima,22.5,,9.0,19556.0,47.68,216.1,danino
Lima,31.7,85.9,4.1,22379.0,94.54,339.4,danino
Trujillo,10.0,94.7,5.5,17597.0,144.15,360.1,danino
Piura,12.2,,14.9,43909.0,147.83,420.6,danino
Cusco,23.5,42.7,12.8,45898.0,11.09,188.6,danino
Piura,20.5,92.2,12.9,11710.0,42.7,150.3,danino
Trujillo,28.6,,19.8,32878.0,127.05,375.2,danino
Trujillo,18.4,52.0,12.0,19626.0,115.89,314.4,danino
Arequipa,34.4,56.6,25.8,23887.0,47.22,219.4,danino
Cusco,28.0,79.6,32.5,5162.0,66.68,141.0,danino
Arequipa,34.1,78.9,21.6,10709.0,25.41,143.0,danino
Arequipa,21.8,90.2,17.3,17024.0,61.07,221.9,danino
Cusco,33.9,65.6,36.8,35259.0,88.4,300.3,danino
Arequipa,11.1,73.2,21.1,15978.0,116.39,284.5,danino
Arequipa,11.0,65.4,21.3,20402.0,73.68,227.0,danino
Lima,33.7,60.8,29.3,10447.0,134.87,336.0,danino
Trujillo,12.5,30.5,29.2,24167.0,64.41,216.3,danino
trujillo,24.9,55.7,14.4,2669.0,135.76,299.6,danino
Trujillo,27.7,32.5,28.8,32978.0,51.22,241.1,danino
Arequipa,21.4,43.2,36.4,44157.0,93.84,325.3,danino
Arequipa,19.9,69.9,8.1,19396.0,122.84,338.6,danino
Cusco,10.3,90.1,13.4,12476.0,95.99,245.3,danino
Cusco,29.3,60.0,9.8,34456.0,84.58,325.3,danino
Trujillo,34.5,73.0,31.6,32214.0,116.34,343.4,danino
Arequipa,30.2,80.1,17.5,26676.0,139.45,404.6,danino
Trujillo,18.5,55.8,27.6,47634.0,,274.0,danino
Trujillo,19.8,81.7,9.4,35192.0,110.53,367.6,danino
Arequipa,10.8,81.8,12.2,14268.0,36.6,165.3,danino
Arequipa,11.5,,29.5,48840.0,97.99,344.8,danino
Lima,28.5,88.5,29.6,28186.0,28.7,190.2,danino
Piura,31.6,40.9,20.7,5913.0,130.41,285.4,danino
Cusco,24.7,61.6,35.4,38548.0,59.58,235.5,danino
Arequipa,21.9,36.7,9.8,38007.0,30.02,231.8,danino
Lima,15.3,93.7,11.6,23093.0,16.57,183.9,danino
Cusco,29.3,33.5,10.5,46919.0,58.83,303.2,danino
Cusco,20.9,84.0,38.5,5523.0,126.01,251.3,danino
Arequipa,15.5,30.4,24.8,15440.0,53.97,191.5,danino
Lima,25.0,65.1,38.7,231612.0,18.88,127.9,danino
