id_venta,fecha,ciudad,categoria,producto,precio_unitario,cantidad,metodo_pago,total
V1000050,2025-11-19,Arequipa,Hogar,Olla,338.86,2,Yape,677.72
V1000051,2025-09-30,Lima,Moda,Camisa,354.22,5,Efectivo,1771.1
V1000052,2025-12-21,Arequipa,Hogar,Aspiradora,309.64,4,Efectivo,1238.56
V1000053,2025-02-05,Piura,Tecnología,Tablet,328.48,4,Yape,1313.92
V1000054,2025-12-20,Arequipa,Alimentos,Café,293.36,3,Tarjeta,880.08
V1000055,2025-03-04,Piura,Hogar,Microondas,299.51,1,Plin,299.51
V1000056,2025-11-22,Cusco,Hogar,Olla,170.06,5,Plin,850.3
V1000057,2025-04-18,Piura,Alimentos,Atún,51.82,5,Plin,259.1
V1000058,2025-12-16,Cusco,,Atún,77.79,5,Efectivo,388.95
V1000059,2025-04-16,Cusco,Alimentos,Arroz,205.42,3,Plin,616.26
V1000060,2025-12-12,Piura,Hogar,Microondas,481.7,1,Plin,481.7
V1000061,2025-05-09,Arequipa,Belleza,Crema,86.65,2,Plin,173.3
V1000062,2025-08-25,Piura,Tecnología,Laptop,477.88,5,Efectivo,2389.4
V1000063,2025-09-04,Cusco,Belleza,Maquillaje,287.36,3,Tarjeta,862.08
V1000064,2025-10-12,Trujillo,Tecnología,Laptop,56.14,4,Tarjeta,224.56
V1000065,2025-08-06,Arequipa,Alimentos,Café,405.39,4,Tarjeta,1621.56
V1000066,2025-01-23,Arequipa,Belleza,Crema,475.08,4,Efectivo,1900.32
V1000067,2025-08-11,Arequipa,Alimentos,Aceite,467.38,1,Plin,467.38
V1000068,2025-01-04,Arequipa,Belleza,Shampoo,434.93,3,Plin,1304.79
V1000069,2025-06-27,Cusco,Alimentos,Café,72.97,5,Yape,364.85
V1000070,2025-04-11,Trujillo,Moda,Zapatillas,412.01,2,Yape,824.02
V1000071,2025-10-12,Piura,Alimentos,Café,59.38,2,Tarjeta,118.76
V1000072,2025-08-30,Cusco,,Zapatillas,44.88,5,Efectivo,224.4
V1000073,2025-03-31,Arequipa,Hogar,Licuadora,148.11,4,Efectivo,592.44
V1000074,2025-04-24,Piura,Belleza,Perfume,439.96,4,Tarjeta,1759.84
V1000075,2025-09-06,Trujillo,Belleza,Crema,217.5,3,Tarjeta,652.5
V1000076,2025-02-05,Arequipa,Moda,Camisa,390.44,5,Plin,1952.2
V1000077,2025-07-02,Piura,Tecnología,Audífonos,379.73,1,Efectivo,379.73
V1000078,2025-03-03,Trujillo,Tecnología,Tablet,200.91,5,Yape,1004.55
V1000079,2025-06-26,Trujillo,Moda,Casaca,479.69,3,Plin,1439.07
V1000080,2025-10-11,Trujillo,Tecnología,Audífonos,251.58,5,Tarjeta,1257.9
V1000081,2025-01-25,Trujillo,Moda,Zapatillas,114.24,5,Yape,571.2
V1000082,2025-02-08,Piura,Tecnología,Laptop,252.27,2,Tarjeta,504.54
V1000083,2025-08-03,Piura,Moda,Zapatillas,355.86,4,Tarjeta,1423.44
V1000084,2025-09-10,Piura,Hogar,Olla,45.65,2,Yape,91.3
V1000085,2025-07-13,Piura,Hogar,Aspiradora,51.57,3,Plin,154.71
V1000086,2025-11-17,Trujillo,Belleza,Shampoo,474.15,1,Tarjeta,474.15
V1000087,2025-10-19,Trujillo,Alimentos,Atún,246.02,4,Efectivo,984.08
V1000088,2025-07-21,Arequipa,Moda,Zapatillas,64.49,3,Tarjeta,193.47
V1000089,2025-08-30,Trujillo,Belleza,Crema,37.59,4,Plin,150.36
V1000090,2025-12-27,Lima,Belleza,Perfume,295.85,1,Yape,295.85
V1000091,2025-11-08,Lima,Alimentos,Aceite,223.8,2,Plin,447.6
V1000092,2025-06-09,Piura,Belleza,Shampoo,168.12,5,Yape,840.6
V1000093,2025-08-17,Trujillo,Alimentos,Atún,350.75,1,Efectivo,350.75
V1000094,2025-11-01,Lima,Tecnología,Laptop,351.49,3,Plin,1054.47
V1000095,2025-01-12,Arequipa,Tecnología,Tablet,38.35,4,Plin,153.4
V1000096,2025-01-08,Arequipa,Alimentos,Café,326.96,2,Plin,653.92
V1000097,2025-01-28,Trujillo,Hogar,Aspiradora,487.45,3,Efectivo,1462.35
V1000098,2025-07-20,Lima,,Laptop,408.76,4,Plin,1635.04
V1000099,2025-02-15,Cusco,Belleza,Shampoo,470.86,3,Plin,1412.58
V1000100,2025-10-30,Lima,,Crema,50.55,2,Yape,101.1
V1000101,2025-01-05,Lima,Belleza,Crema,407.17,1,Yape,407.17
V1000102,2025-10-09,Lima,Belleza,Crema,416.29,1,Tarjeta,416.29
V1000103,2025-04-08,Lima,Tecnología,Audífonos,75.59,5,Plin,377.95
V1000104,2025-07-16,Piura,Alimentos,Aceite,457.45,5,Tarjeta,2287.25
V1000105,2025-07-21,Arequipa,Belleza,Perfume,131.2,1,Efectivo,131.2
V1000106,2025-02-20,Piura,Tecnología,Laptop,111.54,1,Tarjeta,111.54
V1000107,2025-12-14,Arequipa,Hogar,Microondas,264.95,3,Yape,794.85
V1000108,2025-09-25,Lima,Hogar,Microondas,484.31,3,Tarjeta,1452.93
V1000109,2025-04-22,Piura,Tecnología,Laptop,323.29,3,Yape,969.87
V1000110,2025-08-14,Arequipa,Alimentos,Aceite,321.96,3,Yape,965.88
V1000111,2025-11-04,Lima,Hogar,Microondas,230.95,4,Efectivo,923.8
V1000112,2025-02-20,Lima,Hogar,Aspiradora,400.27,2,Plin,800.54
V1000113,2025-11-26,Lima,Tecnología,Tablet,42.46,5,Efectivo,212.3
V1000114,2025-07-24,Cusco,Belleza,Perfume,127.67,3,Yape,383.01
V1000115,2025-05-31,Cusco,Tecnología,Celular,351.86,4,Plin,1407.44
V1000116,2025-07-03,Lima,Alimentos,Atún,438.42,3,Tarjeta,1315.26
V1000117,2025-03-02,Arequipa,Hogar,Licuadora,30.03,5,Efectivo,150.15
V1000118,2025-06-19,Piura,Alimentos,Aceite,53.46,1,Tarjeta,53.46
V1000119,2025-01-12,Arequipa,Tecnología,Celular,188.49,2,Tarjeta,376.98
V1000120,2025-03-14,Arequipa,Moda,Camisa,245.76,3,,737.28
V1000121,2025-12-03,Arequipa,Belleza,Maquillaje,405.04,1,Yape,405.04
V1000122,2025-06-29,Arequipa,Belleza,Maquillaje,190.77,2,Tarjeta,381.54
V1000123,2025-01-14,Cusco,Hogar,Olla,75.23,3,Yape,225.69
V1000124,2025-08-27,Trujillo,Moda,Camisa,434.94,3,Yape,1304.82
V1000125,2025-04-29,Piura,Tecnología,Tablet,19.83,1,Tarjeta,19.83
V1000126,2025-05-06,Trujillo,Hogar,Aspiradora,446.36,4,Tarjeta,1785.44
V1000127,2025-03-08,Lima,Alimentos,Arroz,245.0,4,Yape,980.0
V1000128,2025-04-21,Lima,,Olla,72.51,1,Tarjeta,72.51
V1000129,2025-10-09,Arequipa,Alimentos,Atún,184.49,5,Efectivo,922.45
V1000130,2025-10-16,Piura,Belleza,Crema,120.41,4,Efectivo,481.64
V1000131,2025-11-14,Lima,Moda,Zapatillas,35.3,5,Plin,176.5
V1000132,2025-08-08,Cusco,Hogar,Olla,12.6,1,Efectivo,12.6
V1000133,2025-03-03,Lima,Moda,Pantalón,282.81,2,Yape,565.62
V1000134,2025-10-27,Piura,Belleza,Crema,484.32,4,Yape,1937.28
V1000135,2025-08-13,Trujillo,Alimentos,Arroz,269.62,1,,269.62
V1000136,2025-05-19,Trujillo,Belleza,Shampoo,270.97,1,Efectivo,270.97
V1000137,2025-01-10,Piura,Hogar,Licuadora,278.97,2,Tarjeta,557.94
V1000138,2025-03-25,Lima,Hogar,Licuadora,343.94,1,Tarjeta,343.94
V1000139,2025-02-07,Cusco,Moda,Pantalón,62.28,5,Efectivo,311.4
V1000140,2025-08-24,Arequipa,Alimentos,Aceite,467.14,3,Tarjeta,1401.42
V1000141,2025-03-17,Cusco,Hogar,Licuadora,463.96,4,Plin,1855.84
V1000142,2025-11-24,Cusco,Belleza,Shampoo,377.75,4,Efectivo,1511.0
V1000143,2025-08-01,Piura,Moda,Camisa,125.49,2,Efectivo,250.98
V1000144,2025-03-30,Piura,Alimentos,Aceite,202.3,3,Tarjeta,606.9
V1000145,2025-01-23,Lima,,Laptop,184.13,2,Efectivo,368.26
V1000146,2025-04-14,Cusco,Belleza,Perfume,67.28,3,Yape,201.84
V1000147,2025-02-11,Trujillo,Moda,Zapatillas,440.53,1,Plin,440.53
V1000148,2025-06-06,Lima,Moda,Camisa,356.42,3,Yape,1069.26
V1000149,2025-09-11,Trujillo,Tecnología,Celular,359.89,5,Yape,1799.45
V1000150,2025-12-19,Piura,Hogar,Licuadora,195.62,5,Plin,978.1
V1000151,2025-07-03,Piura,Alimentos,Café,83.46,4,Plin,333.84
V1000152,2025-05-10,Cusco,Belleza,Perfume,303.24,4,Plin,1212.96
V1000153,2025-10-26,Cusco,Hogar,Aspiradora,415.13,2,Plin,830.26
V1000154,2025-10-29,Cusco,Hogar,Olla,456.81,2,Tarjeta,913.62
V1000155,2025-04-21,Trujillo,Tecnología,Audífonos,466.74,4,Plin,1866.96
V1000156,2025-05-13,Piura,Alimentos,Café,329.17,1,Plin,329.17
V1000157,2025-02-20,Piura,Hogar,Microondas,467.84,3,Yape,1403.52
V1000158,2025-10-29,Piura,Tecnología,Laptop,91.11,4,Efectivo,364.44
V1000159,2025-01-01,Cusco,Tecnología,Tablet,307.87,1,Tarjeta,307.87
V1000160,2025-07-21,Trujillo,Tecnología,Laptop,12.27,1,Yape,12.27
V1000161,2025-01-25,Arequipa,Alimentos,Atún,462.25,2,Yape,924.5
V1000162,2025-12-13,Lima,Hogar,Olla,120.06,4,Yape,480.24
V1000163,2025-07-01,Lima,Moda,Zapatillas,91.1,5,Plin,455.5
V1000164,2025-06-26,Piura,Tecnología,Audífonos,146.02,2,Plin,292.04
V1000165,2025-02-18,Lima,Hogar,Olla,234.9,4,Efectivo,939.6
V1000166,2025-03-04,Piura,Alimentos,Café,256.08,1,Plin,256.08
V1000167,2025-08-03,Cusco,Belleza,Perfume,401.89,5,Tarjeta,2009.45
V1000168,2025-10-13,Cusco,,Crema,154.08,3,Yape,462.24
V1000169,2025-07-13,Trujillo,Hogar,Aspiradora,206.37,3,Yape,619.11
V1000170,2025-09-21,Piura,Alimentos,Atún,473.6,2,Efectivo,947.2
V1000171,2025-06-11,Trujillo,,Camisa,22.44,4,Plin,89.76
V1000172,2025-12-15,Lima,Hogar,Aspiradora,118.77,3,Yape,356.31
V1000173,2025-11-24,Lima,Belleza,Perfume,289.03,3,Tarjeta,867.09
V1000174,2025-09-21,Arequipa,Alimentos,Atún,129.15,3,Plin,387.45
V1000175,2025-06-14,Piura,Alimentos,Aceite,153.64,2,Yape,307.28
V1000176,2025-09-20,Lima,Hogar,Licuadora,425.58,5,Yape,2127.9
V1000177,2025-10-12,Trujillo,Alimentos,Aceite,447.41,5,Plin,2237.05
V1000178,2025-08-22,Arequipa,Moda,Zapatillas,299.24,4,Plin,1196.96
V1000179,2025-10-20,Lima,Belleza,Crema,431.92,3,Plin,1295.76
V1000180,2025-12-08,Trujillo,Hogar,Olla,65.98,3,Efectivo,197.94
V1000181,2025-04-25,Lima,Tecnología,Celular,373.43,2,Tarjeta,746.86
V1000182,2025-12-25,Lima,Tecnología,Celular,326.08,4,Efectivo,1304.32
V1000183,2025-01-29,Piura,Hogar,Microondas,143.43,3,Efectivo,430.29
V1000184,2025-05-08,Piura,Hogar,Microondas,292.49,2,Tarjeta,584.98
V1000185,2025-06-02,Arequipa,Belleza,Maquillaje,111.15,2,Efectivo,222.3
V1000186,2025-01-27,Lima,Belleza,Perfume,438.21,2,Plin,876.42
V1000187,2025-11-05,Arequipa,Belleza,Shampoo,420.67,5,Plin,2103.35
V1000188,2025-02-15,Arequipa,Hogar,Olla,479.73,1,Yape,479.73
V1000189,2025-10-19,Cusco,Belleza,Crema,43.44,3,Plin,130.32
V1000190,2025-06-13,Lima,Moda,Zapatillas,155.59,3,Efectivo,466.77
V1000191,2025-02-24,Piura,Hogar,Olla,115.32,4,Yape,461.28
V1000192,2025-08-15,Trujillo,Alimentos,Atún,424.74,3,,1274.22
V1000193,2025-07-20,Arequipa,Moda,Pantalón,62.23,1,Plin,62.23
V1000194,2025-05-09,Lima,Tecnología,Laptop,347.32,2,Tarjeta,694.64
V1000195,2025-05-11,Arequipa,Moda,Camisa,11.15,3,Efectivo,33.45
V1000196,2025-01-12,Cusco,Hogar,Aspiradora,54.88,3,Tarjeta,164.64
V1000197,2025-01-17,Arequipa,Belleza,Shampoo,228.54,4,Efectivo,914.16
V1000198,2025-09-21,Piura,Moda,Camisa,332.8,1,Efectivo,332.8
V1000199,2025-09-25,Cusco,Tecnología,Celular,35.28,2,Yape,70.56
V1000200,2025-01-16,Lima,Hogar,Licuadora,282.35,2,Yape,564.7
V1000201,2025-01-07,Lima,Belleza,Perfume,462.95,2,Yape,925.9
V1000202,2025-03-23,Trujillo,Belleza,Perfume,233.02,3,Efectivo,699.06
V1000203,2025-01-14,Cusco,Tecnología,Tablet,69.08,2,Yape,138.16
V1000204,2025-06-20,Arequipa,Belleza,Perfume,208.2,1,Plin,208.2
V1000205,2025-07-29,Lima,,Maquillaje,219.14,4,Efectivo,876.56
V1000206,2025-11-07,Cusco,Hogar,Microondas,495.27,3,Yape,1485.81
V1000207,2025-05-21,Arequipa,Belleza,Maquillaje,466.97,3,Yape,1400.91
V1000208,2025-01-29,Lima,,Arroz,28.42,4,,113.68
V1000209,2025-08-27,Lima,Alimentos,Aceite,54.93,4,Tarjeta,219.72
V1000210,2025-06-26,Cusco,Tecnología,Laptop,183.76,2,Plin,367.52
V1000211,2025-10-20,Lima,Hogar,Olla,18.76,1,Yape,18.76
V1000212,2025-12-10,Trujillo,Tecnología,Tablet,478.64,5,Tarjeta,2393.2
V1000213,2025-07-17,Cusco,Belleza,Crema,310.57,1,Yape,310.57
V1000214,2025-09-17,Cusco,Alimentos,Café,471.94,5,Yape,2359.7
V1000215,2025-11-26,Cusco,Belleza,Crema,198.2,1,Tarjeta,198.2
V1000216,2025-09-16,Piura,Hogar,Aspiradora,318.59,1,Tarjeta,318.59
V1000217,2025-01-20,Arequipa,Moda,Camisa,95.21,2,Yape,190.42
V1000218,2025-12-04,Lima,Hogar,Olla,449.74,3,Efectivo,1349.22
V1000219,2025-04-30,Piura,Belleza,Perfume,27.08,4,Efectivo,108.32
V1000220,2025-04-08,Cusco,Belleza,Shampoo,201.67,3,Plin,605.01
V1000221,2025-05-17,Cusco,Belleza,Shampoo,427.57,2,Tarjeta,855.14
V1000222,2025-09-18,Cusco,Tecnología,Audífonos,147.88,4,Yape,591.52
V1000223,2025-06-25,Arequipa,Moda,Pantalón,49.71,4,Plin,198.84
V1000224,2025-10-11,Piura,Belleza,Shampoo,427.09,5,,2135.45
V1000225,2025-04-25,Arequipa,Belleza,Perfume,180.43,2,Plin,360.86
V1000226,2025-08-25,Lima,Moda,Pantalón,265.42,4,Tarjeta,1061.68
V1000227,2025-02-28,Lima,Moda,Camisa,420.14,1,Tarjeta,420.14
V1000228,2025-12-22,Cusco,Hogar,Microondas,102.72,5,Yape,513.6
V1000229,2025-11-10,Lima,Belleza,Perfume,440.75,2,Efectivo,881.5
V1000230,2025-06-07,Arequipa,Moda,Casaca,282.53,5,Tarjeta,1412.65
V1000231,2025-10-22,Arequipa,Alimentos,Café,51.21,3,Tarjeta,153.63
V1000232,2025-01-17,Arequipa,Tecnología,Tablet,14.45,5,Yape,72.25
V1000233,2025-03-15,Lima,Moda,Casaca,421.66,4,Plin,1686.64
V1000234,2025-10-05,Trujillo,Belleza,Maquillaje,347.06,2,Plin,694.12
V1000235,2025-07-11,Lima,Moda,Casaca,43.0,2,Efectivo,86.0
V1000236,2025-01-22,Arequipa,Tecnología,Tablet,32.41,2,Efectivo,64.82
V1000237,2025-07-23,Trujillo,,Perfume,73.74,5,Plin,368.7
V1000238,2025-02-02,Cusco,Belleza,Perfume,344.81,2,Efectivo,689.62
V1000239,2025-10-12,Trujillo,Hogar,Aspiradora,60.07,1,Yape,60.07
V1000240,2025-06-06,Cusco,Belleza,Maquillaje,421.57,4,Efectivo,1686.28
V1000241,2025-01-27,Cusco,Moda,Camisa,481.99,4,Tarjeta,1927.96
V1000242,2025-10-30,Piura,Belleza,Perfume,482.62,3,Tarjeta,1447.86
V1000243,2025-09-14,Arequipa,Belleza,Maquillaje,364.97,2,Tarjeta,729.94
V1000244,2025-11-16,Lima,,Camisa,360.31,2,Yape,720.62
V1000245,2025-07-27,Cusco,Alimentos,Café,88.03,1,Tarjeta,88.03
V1000246,2025-11-05,Cusco,Belleza,Crema,269.87,3,Tarjeta,809.61
V1000247,2025-06-30,Trujillo,Alimentos,Aceite,312.16,1,Efectivo,312.16
V1000248,2025-08-24,Trujillo,Tecnología,Tablet,283.62,1,Plin,283.62
V1000249,2025-04-27,Arequipa,Belleza,Maquillaje,222.29,5,,1111.45
V1000250,2025-10-01,Arequipa,Belleza,Crema,487.6,3,Tarjeta,1462.8
V1000251,2025-10-16,Trujillo,Tecnología,Celular,454.83,3,Efectivo,1364.49
V1000252,2025-03-29,Lima,Moda,Camisa,60.37,4,Plin,241.48
V1000253,2025-07-21,Arequipa,Tecnología,Tablet,45.48,1,Tarjeta,45.48
V1000254,2025-03-18,Trujillo,Tecnología,Celular,204.49,2,Efectivo,408.98
V1000255,2025-06-23,Arequipa,Hogar,Microondas,412.51,2,,825.02
V1000256,2025-11-01,Cusco,Alimentos,Arroz,356.17,1,Efectivo,356.17
V1000257,2025-12-25,Lima,Tecnología,Celular,468.25,2,Plin,936.5
V1000258,2025-11-14,Cusco,Alimentos,Atún,49.26,4,Plin,197.04
V1000259,2025-11-10,Arequipa,Alimentos,Atún,325.35,1,Plin,325.35
V1000260,2025-01-14,Cusco,Hogar,Microondas,39.57,4,Tarjeta,158.28
V1000261,2025-10-28,Cusco,Tecnología,Celular,171.22,4,Tarjeta,684.88
V1000262,2025-04-29,Piura,Belleza,Perfume,31.39,4,Efectivo,125.56
V1000263,2025-07-30,Piura,Hogar,Olla,275.81,3,Yape,827.43
V1000264,2025-07-21,Cusco,Alimentos,Atún,118.07,1,Yape,118.07
V1000265,2025-11-01,Piura,Alimentos,Atún,213.79,4,Tarjeta,855.16
V1000266,2025-08-08,Trujillo,Alimentos,Aceite,493.95,2,Tarjeta,987.9
V1000267,2025-04-06,Lima,Moda,Casaca,24.4,2,Plin,48.8
V1000268,2025-03-07,Arequipa,Alimentos,Café,216.64,2,Yape,433.28
V1000269,2025-07-05,Piura,Moda,Casaca,198.09,2,Plin,396.18
V1000270,2025-08-13,Cusco,Belleza,Crema,360.75,2,Plin,721.5
V1000271,2025-10-20,Piura,Hogar,Microondas,251.22,4,Tarjeta,1004.88
V1000272,2025-03-25,Arequipa,Tecnología,Audífonos,90.13,3,Tarjeta,270.39
V1000273,2025-01-28,Arequipa,Tecnología,Audífonos,331.8,1,Plin,331.8
V1000274,2025-06-13,Piura,Alimentos,Atún,232.36,3,Efectivo,697.08
V1000275,2025-04-28,Arequipa,Moda,Camisa,175.13,1,Tarjeta,175.13
V1000276,2025-10-03,Cusco,Belleza,Maquillaje,356.32,4,Plin,1425.28
V1000277,2025-04-17,Piura,Tecnología,Audífonos,335.26,5,Tarjeta,1676.3
V1000278,2025-04-30,Trujillo,Tecnología,Tablet,296.82,4,Yape,1187.28
V1000279,2025-11-30,Arequipa,Belleza,Shampoo,270.27,4,Efectivo,1081.08
V1000280,2025-01-01,Cusco,Belleza,Crema,98.21,3,Tarjeta,294.63
V1000281,2025-06-28,Trujillo,Tecnología,Celular,204.72,2,Plin,409.44
V1000282,2025-10-26,Arequipa,Moda,Camisa,323.17,1,Yape,323.17
V1000283,2025-06-27,Trujillo,Moda,Pantalón,78.43,5,Plin,392.15
V1000284,2025-08-22,Trujillo,Hogar,Licuadora,89.57,5,Tarjeta,447.85
V1000285,2025-12-18,Piura,,Perfume,96.8,2,Tarjeta,193.6
V1000286,2025-04-24,Arequipa,Hogar,Aspiradora,417.13,1,Plin,417.13
V1000287,2025-11-24,Lima,Moda,Pantalón,460.15,1,Yape,460.15
V1000288,2025-10-31,Piura,Belleza,Shampoo,62.23,4,Efectivo,248.92
V1000289,2025-07-11,Lima,Hogar,Aspiradora,209.38,5,Tarjeta,1046.9
V1000290,2025-03-18,Lima,,Perfume,440.47,5,Efectivo,2202.35
V1000291,2025-04-12,Cusco,,Aceite,451.67,5,,2258.35
V1000292,2025-12-31,Cusco,Moda,Camisa,68.9,1,Tarjeta,68.9
V1000293,2025-03-17,Arequipa,Tecnología,Audífonos,286.09,3,Plin,858.27
V1000294,2025-11-01,Lima,Belleza,Perfume,121.36,2,Yape,242.72
V1000295,2025-04-20,Arequipa,Moda,Pantalón,237.11,3,Tarjeta,711.33
V1000296,2025-11-24,Arequipa,Hogar,Microondas,457.98,5,Efectivo,2289.9
V1000297,2025-01-12,Piura,Tecnología,Celular,268.05,4,Plin,1072.2
V1000298,2025-12-09,Arequipa,Moda,Casaca,478.21,5,Tarjeta,2391.05
V1000299,2025-12-02,Piura,Moda,Casaca,477.78,4,Yape,1911.12
V1000300,2025-09-28,Trujillo,Moda,Camisa,244.8,3,Efectivo,734.4
V1000301,2025-02-21,Cusco,Belleza,Shampoo,403.48,3,Plin,1210.44
V1000302,2025-06-07,Arequipa,Hogar,Microondas,143.59,4,Efectivo,574.36
V1000303,2025-12-16,Cusco,Tecnología,Audífonos,343.75,2,Yape,687.5
V1000304,2025-06-08,Lima,Belleza,Crema,100.76,4,Plin,403.04
V1000305,2025-09-20,Lima,Alimentos,Café,31.27,2,Yape,62.54
V1000306,2025-05-21,Piura,Moda,Pantalón,300.83,2,Tarjeta,601.66
V1000307,2025-05-01,Piura,Hogar,Microondas,451.01,1,Efectivo,451.01
V1000308,2025-10-20,Trujillo,Moda,Pantalón,368.66,4,Plin,1474.64
V1000309,2025-12-11,Arequipa,Hogar,Licuadora,315.69,1,Yape,315.69
V1000310,2025-03-10,Lima,Hogar,Licuadora,435.94,1,Yape,435.94
V1000311,2025-05-30,Piura,Belleza,Perfume,122.82,3,Efectivo,368.46
V1000312,2025-03-19,Piura,,Laptop,38.64,1,Efectivo,38.64
V1000313,2025-09-20,Piura,Moda,Pantalón,208.12,5,Yape,1040.6
V1000314,2025-08-29,Cusco,Tecnología,Audífonos,177.13,3,Plin,531.39
V1000315,2025-04-12,Arequipa,Hogar,Olla,144.34,4,Plin,577.36
V1000316,2025-12-19,Trujillo,Belleza,Perfume,206.58,1,Yape,206.58
V1000317,2025-07-15,Piura,Tecnología,Laptop,417.61,4,Tarjeta,1670.44
V1000318,2025-01-27,Piura,Alimentos,Café,441.24,2,Yape,882.48
V1000319,2025-02-27,Cusco,Alimentos,Aceite,338.05,4,Efectivo,1352.2
V1000320,2025-10-18,Arequipa,Tecnología,Audífonos,237.95,4,Efectivo,951.8
V1000321,2025-11-29,Piura,Alimentos,Atún,379.87,2,Efectivo,759.74
V1000322,2025-02-24,Trujillo,Tecnología,Laptop,157.42,4,Yape,629.68
V1000323,2025-10-06,Trujillo,Belleza,Perfume,84.68,5,,423.4
V1000324,2025-11-17,Lima,Alimentos,Aceite,265.27,2,Plin,530.54
V1000325,2025-09-29,Trujillo,Tecnología,Celular,88.06,5,Efectivo,440.3
V1000326,2025-05-31,Arequipa,Alimentos,Arroz,186.47,5,Efectivo,932.35
V1000327,2025-09-06,Lima,Moda,Camisa,159.71,4,Efectivo,638.84
