categoria_producto,precio_unitario,unidades_stock,inversion_publicidad,descuento_pct,mes,ventas_mes,rotacion
Alimentos,345.64,126,3172.69,33.4,Marzo,11556.79,alta
Alimentos,548.1,154,3623.56,29.5,Febrero,17180.57,alta
Alimentos,556.46,302,3424.8,3.2,Febrero,15335.78,alta
Hogar,107.17,342,4225.94,42.9,Mayo,5420.8,alta
Alimentos,,332,3131.0,30.4,Diciembre,35644.4,alta
Deportes,1117.02,454,4803.63,16.8,Agosto,11823.04,alta
Ropa,809.7,98,2287.35,11.9,Septiembre,6503.78,alta
Hogar,657.14,46,772.56,15.2,Septiembre,7184.98,alta
Ropa,248.77,138,40.28,7.9,Diciembre,7270.51,alta
Tecnologia,621.07,283,1310.87,12.0,Mayo,13107.82,alta
Ropa,,294,3932.1,18.9,Septiembre,11546.5,alta
Hogar,399.98,168,4957.62,40.8,Febrero,13691.08,alta
Hogar,118.76,461,4046.58,5.5,Junio,5943.71,alta
Alimentos,,393,2376.05,35.3,Agosto,18023.69,alta
Tecnologia,413.23,294,4996.7,34.7,Julio,10332.23,alta
Hogar,1767.89,433,1999.56,35.5,Enero,49413.27,alta
Alimentos,1307.64,109,4376.79,17.5,Junio,27892.17,alta
Ropa,934.49,44,113.45,15.3,Enero,28134.62,alta
Alimentos,1198.3,315,3026.32,21.4,Febrero,8761.8,alta
Deportes,534.97,227,1234.8,19.3,Febrero,15536.94,alta
Tecnologia,1697.21,240,4882.78,38.3,Junio,21375.63,alta
Hogar,741.2,455,3198.23,12.5,Agosto,16636.21,alta
Tecnologia,229.9,360,983.92,21.6,Enero,5379.05,alta
Deportes,1711.82,483,2371.36,3.1,Diciembre,16161.74,alta
Alimentos,360.93,372,4100.6,23.4,Octubre,14078.65,alta
Deportes,1956.68,70,1435.52,19.1,Mayo,49984.65,alta
Alimentos,1830.4,490,2851.4,35.6,Abril,19514.46,alta
Ropa,464.67,489,4700.0,24.4,Febrero,18742.23,alta
Ropa,18.48,240,3375.99,11.7,Abril,3638.64,media
Alimentos,1684.09,259,2472.4,3.1,Octubre,22484.68,alta
alimentos,1380.31,24,731.08,41.2,Diciembre,33137.53,alta
Ropa,1558.19,288,2282.0,29.9,Septiembre,18481.41,alta
Ropa,1676.22,9,,14.2,Abril,28280.54,alta
Ropa,311.24,330,1130.48,35.3,Septiembre,6274.18,alta
Ropa,783.24,61,1696.29,23.1,Abril,12101.86,alta
Ropa,1986.92,427,1146.69,0.4,Diciembre,60187.89,alta
Ropa,817.08,77,,8.7,Octubre,24678.72,alta
Ropa,911.63,103,2935.85,4.6,Julio,5681.92,alta
Tecnologia,786.68,57,2074.03,23.6,Junio,8590.7,alta
Alimentos,218.73,244,633.21,2.7,Abril,3691.07,media
Tecnologia,1915.18,96,,22.6,Junio,47326.01,alta
Hogar,373.35,124,2270.53,40.2,Mayo,4704.18,media
Alimentos,1248.38,367,2747.46,44.7,Julio,24291.88,alta
Hogar,1051.06,499,1915.61,9.9,Enero,14734.89,alta
Hogar,547.87,154,1513.46,34.4,Enero,9331.63,alta
Tecnologia,1517.06,429,4507.81,9.7,Agosto,19488.77,alta
Ropa,1981.03,438,4802.23,46.0,Noviembre,43939.77,alta
Tecnologia,1002.78,407,4752.5,38.6,Agosto,6809.2,alta
Tecnologia,1209.22,30,1826.16,23.9,Mayo,17149.54,alta
Alimentos,467.2,152,1538.54,37.0,Agosto,8311.89,alta
Deportes,1344.18,289,,23.9,Septiembre,34170.74,alta
Ropa,142.78,107,2778.07,15.6,Abril,6618.55,alta
Ropa,1943.71,392,3557.28,5.7,Junio,58526.37,alta
Hogar,905.04,362,3668.04,32.2,Abril,20274.72,alta
Deportes,1579.06,374,2169.12,8.6,Mayo,44004.91,alta
deportes,436.2,256,3112.22,12.5,Mayo,6872.23,alta
Deportes,1009.49,105,784.3,3.8,Enero,30316.18,alta
Ropa,1407.59,172,4826.39,36.2,Julio,20388.27,alta
Ropa,909.31,12,173.18,43.8,Diciembre,24374.55,alta
Hogar,1228.96,365,,41.9,Abril,30124.58,alta
Alimentos,578.31,397,4409.17,32.0,Septiembre,9506.34,alta
Tecnologia,905.38,87,527.91,38.9,Enero,4422.43,media
Hogar,,18,1.01,36.0,Abril,422.06,baja
Deportes,1903.52,448,1622.14,23.4,Mayo,9244.34,alta
Deportes,1299.59,43,2730.42,6.8,Agosto,14489.48,alta
Ropa,1882.69,336,3755.28,5.4,Diciembre,20481.02,alta
Deportes,450.62,245,4789.95,14.8,Diciembre,11089.35,alta
Deportes,1012.25,163,1124.2,9.4,Julio,30683.51,alta
Hogar,973.15,264,3519.42,48.9,Mayo,18269.55,alta
Deportes,753.09,394,2410.63,36.5,Noviembre,19598.31,alta
Ropa,606.35,16,601.87,2.6,Marzo,3197.71,media
Alimentos,944.71,249,4049.97,22.0,Julio,29152.38,alta
Tecnologia,1563.82,71,3781.58,18.9,Enero,123965.0329410824,alta
Tecnologia,595.49,341,2532.56,4.6,Septiembre,8533.21,alta
Alimentos,,414,,40.3,Diciembre,30635.98,alta
Tecnologia,213.73,407,911.85,24.4,Marzo,3335.12,media
Alimentos,905.72,29,1586.67,25.9,Enero,4658.25,media
Tecnologia,525.64,156,3955.0,37.8,Diciembre,14528.26,alta
Deportes,883.9,184,61.71,12.7,Abril,9942.17,alta
Deportes,366.45,88,3913.5,36.2,Diciembre,8554.27,alta
Alimentos,1046.83,25,2473.77,20.7,Febrero,4456.43,media
DEPORTES,94.17,253,1657.26,27.0,Octubre,1924.27,media
Ropa,644.54,235,3615.32,15.8,Octubre,17635.73,alta
Tecnologia,959.99,265,3100.42,44.3,Marzo,8203.42,alta
Ropa,549.06,304,4034.31,45.0,Febrero,7554.41,alta
Tecnologia,894.02,136,4689.2,43.7,Mayo,24867.14,alta
Deportes,77.03,285,1593.92,20.5,Enero,1791.54,media
Ropa,1230.04,66,436.65,8.6,Mayo,19413.44,alta
Hogar,602.37,186,3265.4,24.8,Mayo,10867.5,alta
Hogar,919.93,439,1991.36,37.7,Mayo,7845.67,alta
Ropa,159.48,233,801.28,6.2,Abril,3455.22,media
Alimentos,1539.81,282,,24.6,Junio,30332.39,alta
Hogar,235.82,141,2704.47,0.2,Abril,4639.54,media
Deportes,1772.75,319,4064.05,6.4,Julio,40276.34,alta
Deportes,797.22,456,4805.29,14.0,Abril,23404.08,alta
Alimentos,1307.17,153,1447.34,32.3,Junio,38224.98,alta
Tecnologia,762.68,190,84.35,43.0,Enero,12503.46,alta
Tecnologia,332.66,331,4771.05,21.9,Septiembre,9464.95,alta
Deportes,1121.25,186,3069.57,46.3,Enero,24570.68,alta
Hogar,1263.33,318,,19.5,Agosto,137062.82456865042,alta
Ropa,1787.78,57,1434.9,1.4,Abril,51255.38,alta
Hogar,574.68,304,3761.94,24.0,Agosto,8409.37,alta
