edad,ingreso_mensual,num_creditos_anteriores,dias_mora_historico,tiene_deuda_vigente,nivel_educacion,monto_credito_otorgado,riesgo
36,10418.33,8,,1,Universitario,28829.56,no_moroso
25,,3,,1,Posgrado,9512.08,no_moroso
29,13038.85,0,19.2,0,Universitario,33348.18,no_moroso
26,,6,26.8,1,Secundaria,23324.62,no_moroso
32,5310.37,6,28.7,0,Tecnico,13290.34,no_moroso
20,13396.84,5,0.4,0,Universitario,35840.08,no_moroso
23,3772.15,2,0.2,1,Tecnico,8439.51,no_moroso
52,14769.04,6,0.7,0,Tecnico,38247.14,no_moroso
44,3016.74,0,24.6,0,Secundaria,7160.03,no_moroso
39,4675.23,0,21.6,0,Universitario,12638.28,no_moroso
69,11632.9,2,39.8,1,UNIVERSITARIO,27913.28,moroso
24,2629.75,9,16.9,0,Universitario,8727.92,no_moroso
60,12547.17,4,31.3,1,Universitario,30298.7,moroso
53,7290.13,9,,0,Secundaria,18631.2,no_moroso
59,7307.09,7,6.4,0,Tecnico,19681.93,no_moroso
18,14180.01,4,14.3,0,Tecnico,36096.18,no_moroso
31,6367.55,6,,0,Universitario,18285.39,no_moroso
41,,6,39.4,0,Secundaria,22105.22,moroso
37,5216.91,8,34.3,1,Tecnico,11686.89,moroso
61,11001.91,8,,1,posgrado,28951.86,no_moroso
64,9309.55,6,36.2,1,Secundaria,21657.23,moroso
34,13797.37,0,1.1,0,Universitario,35257.15,no_moroso
52,,6,32.0,0,Tecnico,2716.16,moroso
37,14086.01,2,2.0,0,Universitario,37071.8,no_moroso
69,5706.57,9,10.7,1,Universitario,16039.21,no_moroso
22,4522.84,8,22.6,0,Tecnico,11426.31,no_moroso
50,11261.54,2,7.9,1,Secundaria,28257.64,no_moroso
47,913.14,5,,0,Universitario,3809.16,no_moroso
51,1252.95,5,26.0,1,Tecnico,2387.47,no_moroso
43,10343.19,0,10.5,0,Universitario,26445.58,no_moroso
37,,0,7.4,0,secundaria,3767.81,no_moroso
19,13155.65,5,14.6,0,Secundaria,32318.41,no_moroso
24,1944.86,8,43.4,0,Tecnico,5075.79,moroso
19,10386.84,7,17.8,0,Posgrado,29324.61,no_moroso
18,10388.68,7,8.5,0,Tecnico,27931.89,no_moroso
69,12559.65,9,5.2,0,Tecnico,33549.05,no_moroso
53,9628.45,3,19.4,1,Tecnico,22608.14,no_moroso
41,12697.22,9,42.6,0,Posgrado,34197.36,moroso
55,,6,74.8,1,Secundaria,26966.65,moroso
32,2879.43,9,6.6,1,Secundaria,6440.66,no_moroso
48,10919.46,4,5.7,1,Universitario,28343.16,no_moroso
45,7440.71,5,16.7,0,Universitario,19730.3,no_moroso
64,7858.25,6,8.8,0,Universitario,21651.32,no_moroso
46,6388.82,6,,0,Posgrado,21051.92,no_moroso
31,10030.23,1,13.3,1,Universitario,24120.03,no_moroso
21,,8,11.2,1,Secundaria,6882.84,no_moroso
36,3627.74,3,6.1,0,Tecnico,10268.92,no_moroso
69,12522.38,8,,1,Tecnico,30427.38,moroso
52,7754.98,7,24.3,0,Universitario,20718.01,no_moroso
67,7606.67,0,46.8,0,Secundaria,16807.29,moroso
62,10921.96,9,34.8,0,Universitario,28421.72,moroso
19,2793.96,9,,0,Posgrado,11292.58,no_moroso
18,2839.3,0,17.0,0,Universitario,7885.13,no_moroso
51,3750.13,5,2.7,0,Universitario,12264.4,no_moroso
55,2350.54,3,5.1,0,Tecnico,6944.03,no_moroso
68,7768.32,7,,1,Secundaria,18169.42,no_moroso
58,6494.43,3,98.7,0,posgrado,14625.41,moroso
37,3147.66,2,29.2,0,Universitario,8623.66,no_moroso
64,8704.17,2,14.0,0,Universitario,22714.09,no_moroso
28,3998.13,9,5.8,1,Posgrado,12417.97,no_moroso
42,8167.21,6,16.8,1,Tecnico,20040.43,no_moroso
34,11482.14,6,3.1,1,Universitario,29608.42,no_moroso
37,14094.36,4,44.9,0,Universitario,35281.99,moroso
59,3644.09,6,21.8,0,Posgrado,11646.22,no_moroso
21,1946.53,0,1.3,0,Posgrado,7892.3,no_moroso
57,3040.91,2,46.3,0,Secundaria,5216.97,moroso
40,4857.25,0,9.8,0,Universitario,12494.54,no_moroso
27,9325.04,8,8.6,1,Universitario,224626.23481440477,no_moroso
65,10085.76,0,1.5,0,Tecnico,25206.86,no_moroso
34,1231.72,4,21.4,0,Posgrado,6035.31,no_moroso
69,5029.56,1,36.4,0,Universitario,11898.9,moroso
43,7379.12,2,31.9,0,Posgrado,20801.16,moroso
19,13087.87,7,29.1,1,Tecnico,31336.13,no_moroso
34,9719.01,6,1.5,0,Tecnico,25851.98,no_moroso
64,,0,50.0,0,Universitario,2072.36,moroso
36,2609.04,7,2.9,1,Tecnico,6050.51,no_moroso
20,,1,0.4,0,Secundaria,36578.91,no_moroso
63,5126.82,0,1.7,0,Tecnico,13868.69,no_moroso
27,12581.49,4,6.0,0,Universitario,33105.38,no_moroso
20,14883.8,4,2.6,0,Posgrado,41767.48,no_moroso
69,14513.73,0,,0,Tecnico,35075.84,moroso
53,13438.33,4,4.9,1,Universitario,34022.02,no_moroso
24,5961.31,9,5.5,1,Tecnico,14879.55,no_moroso
55,8817.19,0,10.8,0,Secundaria,20964.66,no_moroso
65,13385.72,1,23.7,1,Tecnico,32313.16,no_moroso
37,2613.69,4,37.1,1,Universitario,5764.11,moroso
26,3355.05,3,19.5,1,Universitario,7712.55,no_moroso
20,14803.61,4,14.2,0,Tecnico,37902.25,no_moroso
32,9403.08,6,,1,Tecnico,22864.84,no_moroso
61,8860.46,4,,0,Secundaria,22581.13,no_moroso
30,4627.04,7,11.3,0,Tecnico,13483.84,no_moroso
26,13849.78,2,22.4,1,Universitario,33662.46,no_moroso
66,3690.5,3,2.9,1,Secundaria,8910.74,no_moroso
22,3745.07,6,1.0,0,Universitario,11338.12,no_moroso
41,10774.11,2,26.7,1,Tecnico,24079.31,no_moroso
46,5990.61,5,31.8,1,Tecnico,13442.24,moroso
64,4557.72,2,4.9,0,Tecnico,11094.67,no_moroso
42,5614.22,5,12.0,0,Universitario,15867.52,no_moroso
19,1020.19,1,9.4,0,Secundaria,2401.28,no_moroso
31,13478.61,8,4.0,0,Universitario,36941.38,no_moroso
50,6724.83,4,2.8,0,Universitario,19051.91,no_moroso
39,8755.11,1,12.4,1,Universitario,21241.71,no_moroso
68,,6,,0,Universitario,21819.87,no_moroso
49,8960.98,0,4.9,1,Posgrado,23776.91,no_moroso
65,10953.04,6,4.8,1,Tecnico,26965.62,no_moroso
59,2234.2,5,9.2,1,Universitario,6719.4,no_moroso
43,,4,5.8,0,Universitario,11382.28,no_moroso
49,2901.35,6,24.8,0,Posgrado,9244.48,no_moroso
55,3672.48,7,10.1,0,Posgrado,13062.94,no_moroso
51,11246.93,9,7.1,1,Posgrado,31316.79,no_moroso
55,10515.81,5,0.8,1,Universitario,26738.92,no_moroso
22,6080.29,5,26.4,0,Tecnico,14513.8,no_moroso
23,7785.22,7,53.2,0,Universitario,19241.2,moroso
22,9990.61,6,5.4,1,Tecnico,24879.58,no_moroso
47,13530.51,8,38.5,0,Universitario,34222.36,moroso
46,14690.89,2,15.8,0,Universitario,37952.82,no_moroso
50,1288.16,9,0.8,0,Posgrado,7285.03,no_moroso
27,13206.05,3,,1,Tecnico,32335.55,no_moroso
34,6960.32,1,7.9,0,Secundaria,16793.46,no_moroso
38,13953.35,2,8.6,0,Secundaria,34269.4,no_moroso
59,1140.89,8,2.5,0,Tecnico,4972.38,no_moroso
47,3416.93,6,7.4,1,Tecnico,8105.12,no_moroso
28,10445.37,6,27.0,0,Secundaria,27028.05,no_moroso
37,2996.1,3,11.2,0,Secundaria,7071.34,no_moroso
52,6066.47,5,10.2,0,Universitario,16775.35,no_moroso
64,7210.83,0,26.6,0,Tecnico,16577.8,no_moroso
29,5462.39,8,12.3,1,Tecnico,13740.84,no_moroso
48,4714.09,9,5.0,0,Tecnico,14787.42,no_moroso
37,3038.5,1,38.3,0,Tecnico,6879.85,moroso
46,8559.71,3,35.7,1,Universitario,20150.7,moroso
55,13596.57,1,23.0,1,Universitario,33113.54,no_moroso
18,5706.01,5,8.6,0,Universitario,16683.29,no_moroso
33,9751.03,9,10.4,1,Tecnico,24757.05,no_moroso
28,13576.96,5,17.9,1,Universitario,34486.66,no_moroso
63,2469.7,5,2.8,1,Tecnico,6199.54,no_moroso
50,4397.77,0,13.1,0,Universitario,11184.21,no_moroso
57,10996.75,3,27.0,0,Universitario,28622.26,no_moroso
39,5028.24,9,20.7,1,Tecnico,13049.24,no_moroso
51,8801.71,3,0.2,0,Secundaria,22739.9,no_moroso
48,9554.87,7,3.1,0,Tecnico,25766.75,no_moroso
48,1054.51,3,20.7,0,Tecnico,3000.26,no_moroso
54,10921.02,0,15.8,1,Secundaria,25172.06,no_moroso
20,6068.18,8,21.9,1,Posgrado,16880.0,no_moroso
35,6986.76,0,2.1,0,Tecnico,17980.25,no_moroso
19,2564.99,2,4.8,0,Tecnico,6569.75,no_moroso
69,13568.03,0,19.1,1,Secundaria,31879.58,no_moroso
45,8762.0,8,7.7,0,Tecnico,23601.04,no_moroso
41,14336.11,6,,0,Posgrado,39056.48,no_moroso
55,946.8,9,4.8,1,Universitario,3921.17,no_moroso
31,2104.72,2,16.7,1,Secundaria,3646.77,no_moroso
55,10867.38,3,0.0,1,Secundaria,27383.91,no_moroso
49,5798.31,5,7.1,0,Posgrado,17799.29,no_moroso
57,4850.63,0,2.6,1,Posgrado,13607.01,no_moroso
20,7847.49,0,8.8,1,Universitario,19331.31,no_moroso
19,5429.82,8,21.7,0,Posgrado,17459.58,no_moroso
49,1155.43,7,1.9,0,Secundaria,4983.65,no_moroso
37,8792.34,6,7.8,0,Universitario,23990.14,no_moroso
42,7581.23,8,0.1,0,Tecnico,20606.67,no_moroso
58,6193.21,3,24.2,1,Secundaria,13169.21,no_moroso
39,12407.58,2,46.8,1,Universitario,29202.52,moroso
25,11964.76,8,1.1,1,Tecnico,30952.94,no_moroso
37,11936.49,9,,1,TECNICO,29607.0,no_moroso
19,6364.76,6,9.3,0,Secundaria,16386.18,no_moroso
24,14506.52,9,2.7,0,Universitario,38721.93,no_moroso
30,3615.3,6,46.3,1,Tecnico,7496.94,moroso
28,9077.0,0,16.8,1,Tecnico,20817.23,no_moroso
51,10386.25,9,,0,Tecnico,27153.18,no_moroso
20,6868.91,0,,1,Universitario,16921.65,no_moroso
63,8069.82,9,25.3,1,Tecnico,19777.39,no_moroso
18,9237.3,9,5.8,1,Posgrado,26416.17,no_moroso
43,10365.84,3,9.6,0,Tecnico,26074.22,no_moroso
43,9387.44,4,,1,Tecnico,22848.17,no_moroso
56,10405.48,5,15.6,1,Tecnico,25562.47,no_moroso
59,1452.49,2,1.8,0,Secundaria,3926.36,no_moroso
26,,5,25.9,1,Universitario,25269.24,no_moroso
66,7773.64,0,14.8,0,Tecnico,19069.5,no_moroso
42,8221.03,1,3.5,1,Universitario,20026.11,no_moroso
39,,6,4.7,0,Universitario,25297.48,no_moroso
22,5605.16,2,19.4,1,Tecnico,11304.77,no_moroso
18,11363.18,2,41.2,1,Universitario,26287.88,moroso
57,11837.81,3,1.4,1,Posgrado,30919.37,no_moroso
59,2181.68,4,10.1,0,Universitario,7356.6,no_moroso
37,11124.05,7,14.0,0,Secundaria,28423.29,no_moroso
30,8269.24,7,9.0,0,Tecnico,22388.09,no_moroso
67,4591.15,1,,1,Tecnico,10385.63,no_moroso
35,3483.79,2,13.0,0,Universitario,10694.73,no_moroso
61,13544.36,4,4.6,0,Posgrado,37032.71,no_moroso
45,922.49,8,9.8,1,Tecnico,1246.9,no_moroso
22,6577.22,1,27.9,0,Universitario,16553.83,no_moroso
23,5545.95,4,5.1,1,Tecnico,12028.05,no_moroso
30,4284.43,4,18.5,0,Universitario,11438.27,no_moroso
62,2846.6,3,13.8,0,Tecnico,7953.06,no_moroso
45,4861.59,5,5.9,0,Tecnico,13309.64,no_moroso
47,3105.85,0,21.4,1,Universitario,6425.34,no_moroso
20,12153.73,4,19.1,0,Tecnico,29851.91,no_moroso
41,13137.54,2,1.2,1,Universitario,33424.66,no_moroso
62,13203.9,9,67.0,0,Posgrado,35837.83,moroso
50,1677.26,0,17.2,1,Posgrado,4344.76,no_moroso
31,13922.96,4,,0,Universitario,35435.48,moroso
33,14641.63,3,47.4,0,Secundaria,33829.48,moroso
25,3765.29,3,2.3,0,Tecnico,9932.27,no_moroso
39,5590.87,5,5.2,0,Universitario,16490.15,no_moroso
60,8531.18,3,,0,Secundaria,21898.61,no_moroso
47,12560.86,8,3.9,1,Secundaria,31419.39,no_moroso
40,9945.8,1,8.4,1,Tecnico,24079.43,no_moroso
36,13827.04,1,2.9,1,Universitario,35435.92,no_moroso
58,12239.29,0,,1,Universitario,30287.04,no_moroso
45,4326.37,5,31.5,1,Tecnico,9424.61,moroso
18,3328.18,8,27.1,1,Secundaria,6569.01,no_moroso
45,12782.02,6,30.3,0,Universitario,33285.73,moroso
43,2926.14,2,17.0,1,Tecnico,6717.29,no_moroso
33,1197.16,8,38.8,1,Posgrado,4907.87,moroso
31,1064.06,0,15.0,1,Universitario,1930.24,no_moroso
59,3933.27,9,15.3,0,Secundaria,10557.66,no_moroso
23,1643.85,3,32.6,0,Universitario,3923.87,moroso
31,9073.79,9,6.4,1,Tecnico,23161.84,no_moroso
68,11750.72,2,6.4,0,Tecnico,29484.04,no_moroso
64,11885.31,0,2.1,1,Tecnico,29535.64,no_moroso
41,4266.46,9,4.3,1,universitario,11887.94,no_moroso
34,5543.01,6,20.2,1,Universitario,13719.66,no_moroso
54,4706.64,6,0.5,1,Universitario,13008.11,no_moroso
66,14002.13,5,17.0,1,Secundaria,32953.34,no_moroso
48,3846.99,5,26.1,1,Universitario,9570.35,no_moroso
36,12871.55,2,56.1,1,Universitario,28738.42,moroso
18,3171.0,2,32.3,0,Tecnico,6683.29,moroso
43,,1,5.5,1,Tecnico,26004.73,no_moroso
66,1001.39,2,33.0,0,Posgrado,4782.49,moroso
39,6107.48,9,32.7,0,Universitario,16596.28,moroso
53,6099.88,8,6.4,1,Secundaria,15009.7,no_moroso
28,3188.93,9,23.0,1,Tecnico,6949.86,no_moroso
48,5514.76,0,6.9,0,Secundaria,13602.76,no_moroso
59,10033.65,6,26.3,1,Secundaria,23533.44,no_moroso
47,7628.65,2,3.7,1,Tecnico,18662.05,no_moroso
49,3336.66,3,13.5,0,Universitario,9826.55,no_moroso
21,3622.83,8,22.1,0,Tecnico,10379.64,no_moroso
54,5116.21,7,28.7,1,Tecnico,11205.82,no_moroso
37,1580.31,7,5.0,0,Universitario,6268.09,no_moroso
39,12773.62,6,17.8,1,Posgrado,33641.09,no_moroso
54,2130.7,5,15.4,0,POSGRADO,8070.97,no_moroso
20,1935.77,1,27.7,0,Universitario,5807.39,no_moroso
18,,1,6.0,0,Universitario,33016.8,no_moroso
24,,7,49.8,0,Universitario,31235.45,moroso
50,1804.26,7,3.8,0,Universitario,7870.47,no_moroso
68,,2,2.6,0,Universitario,35068.92,no_moroso
50,5850.36,1,12.0,1,Posgrado,16134.14,no_moroso
50,9085.4,1,,1,Universitario,21720.84,no_moroso
36,6701.52,0,,1,Universitario,15248.42,moroso
18,13098.53,1,18.3,0,Posgrado,35610.64,no_moroso
48,2480.51,5,20.2,1,Secundaria,4822.44,no_moroso
25,3847.62,2,9.2,1,Tecnico,8454.69,no_moroso
34,4585.39,6,2.6,0,Posgrado,16547.66,no_moroso
56,13015.57,4,19.7,0,Secundaria,32239.12,no_moroso
39,9861.86,1,3.1,1,Posgrado,26530.39,no_moroso
25,5475.08,5,5.5,0,Tecnico,15401.3,no_moroso
30,1386.43,5,13.8,1,Secundaria,2588.97,no_moroso
24,5799.66,6,14.3,1,Universitario,14979.97,no_moroso
48,6750.8,7,12.6,1,Universitario,18274.82,no_moroso
32,9387.61,6,3.9,0,Tecnico,24339.78,no_moroso
29,,7,5.2,0,Universitario,37680.0,no_moroso
52,4715.11,0,8.5,0,Posgrado,14423.73,no_moroso
53,2939.35,0,1.4,0,Universitario,9745.82,no_moroso
25,10798.97,2,44.2,0,Secundaria,25210.67,moroso
54,,7,23.8,0,Tecnico,19111.85,no_moroso
37,10789.33,5,4.5,1,Posgrado,29177.7,no_moroso
34,10573.13,9,6.1,1,Secundaria,220249.40167908347,no_moroso
40,6096.0,4,19.1,1,posgrado,16823.29,no_moroso
34,12006.51,8,,0,Posgrado,33441.42,no_moroso
26,5060.28,7,12.1,0,Universitario,14646.13,no_moroso
44,6910.24,2,34.3,0,Tecnico,16504.78,moroso
36,,6,6.8,0,Universitario,6943.85,no_moroso
35,13954.36,7,8.0,0,Tecnico,36677.58,no_moroso
64,6912.72,8,10.2,0,Tecnico,18508.88,no_moroso
59,6688.49,1,29.0,0,Secundaria,15496.06,no_moroso
23,9645.33,8,11.1,1,Secundaria,22842.93,no_moroso
40,5620.38,1,1.9,0,Tecnico,13874.21,no_moroso
32,1643.97,7,16.9,0,Universitario,5496.29,no_moroso
63,6565.44,9,0.2,1,Secundaria,16863.64,no_moroso
47,13257.37,1,1.1,1,Tecnico,32898.07,no_moroso
18,4187.31,3,15.0,0,Universitario,11806.91,no_moroso
69,10549.44,7,55.8,0,Tecnico,25618.13,moroso
21,10409.74,7,12.7,0,Posgrado,29345.63,no_moroso
28,4801.28,0,28.1,0,Posgrado,12770.0,no_moroso
27,7514.3,7,6.6,0,Tecnico,20329.19,no_moroso
64,3577.97,2,13.9,0,Tecnico,9534.5,no_moroso
29,14484.58,5,48.1,1,Universitario,35585.84,moroso
62,11089.91,2,,1,Tecnico,27196.12,no_moroso
66,9505.07,0,18.4,1,Universitario,22274.48,no_moroso
58,5369.91,0,30.9,1,Tecnico,10571.09,moroso
47,6594.81,6,0.2,1,Secundaria,16361.38,no_moroso
22,13542.97,4,21.7,1,Tecnico,32966.24,no_moroso
23,9313.77,7,7.2,0,Secundaria,23839.09,no_moroso
37,,1,8.4,0,Tecnico,18846.84,no_moroso
63,2354.01,7,11.3,0,Tecnico,6010.16,no_moroso
21,,7,14.0,1,Secundaria,16717.34,no_moroso
