distrito,area_m2,habitaciones,banos,antiguedad_anos,estacionamiento,precio_alquiler,precio_categoria
SAN ISIDRO,157.6,4,2,17.0,1,6700.0,premium
San Miguel,109.1,2,2,3.0,1,3950.0,premium
LINCE,205.1,3,2,16.0,1,4720.0,premium
San Isidro,170.9,4,1,19.0,1,6900.0,premium
Magdalena,179.3,4,1,6.0,1,5190.0,premium
Lince,203.0,4,2,28.0,0,4360.0,premium
Barranco,206.6,3,2,17.0,0,5330.0,premium
San Miguel,134.2,1,1,10.0,0,3700.0,premium
Lince,215.1,5,1,37.0,1,4330.0,premium
Miraflores,165.8,4,2,18.0,1,6270.0,premium
Surco,95.4,4,1,34.0,0,4060.0,premium
Magdalena,56.1,3,3,4.0,0,3790.0,premium
San Juan de Lurigancho,144.4,3,3,18.0,1,3400.0,premium
Miraflores,,1,1,13.0,0,5780.0,premium
Chorrillos,105.0,2,1,18.0,0,2450.0,moderado
Pueblo Libre,85.2,4,1,17.0,0,3000.0,moderado
Lince,127.7,1,1,13.0,1,3500.0,premium
Carabayllo,157.6,1,1,,0,2920.0,moderado
Lince,50.9,2,2,37.0,1,2110.0,moderado
San Isidro,,2,2,10.0,1,5270.0,premium
San Isidro,138.1,4,1,35.0,0,5670.0,premium
Chorrillos,144.1,3,2,21.0,1,3670.0,premium
Barranco,127.0,4,2,29.0,1,4860.0,premium
San Isidro,128.8,1,1,35.0,0,5100.0,premium
Carabayllo,63.8,4,3,1.0,1,3000.0,moderado
Chorrillos,95.9,1,1,39.0,0,1620.0,moderado
San Borja,203.5,4,3,20.0,1,6280.0,premium
San Isidro,147.1,4,3,39.0,0,5620.0,premium
Ate,180.2,2,2,27.0,0,2790.0,moderado
San Isidro,177.5,2,2,20.0,1,6620.0,premium
Carabayllo,103.6,3,3,,1,2350.0,moderado
La Molina,126.9,2,1,37.0,0,4170.0,premium
Barranco,110.3,2,2,35.0,1,3840.0,premium
Chorrillos,53.0,4,1,20.0,1,2470.0,moderado
Pueblo Libre,213.2,1,1,0.0,1,5220.0,premium
Miraflores,44.1,4,3,37.0,1,4380.0,premium
Miraflores,134.8,1,1,18.0,1,5360.0,premium
Pueblo Libre,70.6,5,2,1.0,1,59139.0,premium
San Borja,211.8,3,3,25.0,1,6140.0,premium
San Borja,208.6,1,1,3.0,1,5870.0,premium
Magdalena,56.4,4,2,4.0,0,3830.0,premium
Surco,185.1,4,3,17.0,1,6350.0,premium
Ate,50.5,4,2,,1,2290.0,moderado
Ate,127.1,3,1,6.0,1,3370.0,premium
Miraflores,112.1,5,1,12.0,1,5970.0,premium
San Miguel,192.9,2,1,24.0,1,4300.0,premium
San Juan de Lurigancho,82.3,1,1,9.0,1,2240.0,moderado
San Borja,193.5,4,2,12.0,0,5830.0,premium
Carabayllo,56.7,3,2,11.0,1,2030.0,moderado
San Juan de Lurigancho,83.9,4,2,34.0,0,1980.0,moderado
Lince,173.3,5,1,22.0,0,4300.0,premium
San Miguel,190.3,3,1,3.0,1,5010.0,premium
San Miguel,133.9,5,2,22.0,1,4380.0,premium
Pueblo Libre,67.1,1,1,38.0,1,2180.0,moderado
San Isidro,129.5,4,3,31.0,1,6180.0,premium
Barranco,83.8,1,1,18.0,1,3740.0,premium
San Juan de Lurigancho,53.0,5,2,12.0,1,2600.0,moderado
Pueblo Libre,147.0,2,2,16.0,1,3980.0,premium
Lince,132.6,2,2,29.0,0,2880.0,moderado
Surco,78.6,2,2,34.0,0,3570.0,premium
Miraflores,64.7,2,2,16.0,1,5200.0,premium
San Borja,70.8,4,2,13.0,0,4820.0,premium
Ate,,5,2,20.0,0,3740.0,premium
Lince,47.7,4,1,15.0,1,2920.0,moderado
Lince,93.8,3,3,2.0,1,3970.0,premium
Jesus Maria,215.7,5,2,8.0,0,5350.0,premium
Barranco,88.9,4,2,11.0,1,4520.0,premium
San Juan de Lurigancho,141.9,2,1,4.0,0,3050.0,premium
Carabayllo,161.0,4,2,31.0,0,3020.0,premium
surco,81.1,3,1,21.0,0,3970.0,premium
Miraflores,170.4,3,3,22.0,1,6340.0,premium
Jesus Maria,93.4,3,2,15.0,1,3810.0,premium
Pueblo Libre,219.0,4,2,3.0,1,5610.0,premium
Chorrillos,210.4,3,3,12.0,1,5010.0,premium
San Juan de Lurigancho,193.4,2,1,,1,3650.0,premium
Magdalena,133.7,1,1,6.0,1,4140.0,premium
San Juan de Lurigancho,129.3,1,1,8.0,1,2930.0,moderado
San Isidro,179.4,2,2,3.0,1,7250.0,premium
Pueblo Libre,138.3,2,1,3.0,1,4270.0,premium
La Molina,129.8,4,1,7.0,1,5310.0,premium
Ate,129.7,3,1,33.0,1,2840.0,moderado
La Molina,86.3,3,3,37.0,1,4150.0,premium
Ate,139.9,3,2,1.0,1,3860.0,premium
Pueblo Libre,113.9,2,2,0.0,1,4210.0,premium
San Borja,78.9,2,2,35.0,1,3850.0,premium
Ate,66.8,4,1,35.0,1,61481.0,moderado
San Juan de Lurigancho,170.3,1,1,22.0,1,2840.0,moderado
Pueblo Libre,55.1,5,3,,0,3810.0,premium
Lince,182.8,5,2,,0,4920.0,premium
ATE,60.3,3,1,26.0,1,1950.0,moderado
Ate,186.0,1,1,3.0,0,3440.0,premium
Jesus Maria,114.9,3,3,24.0,0,3660.0,premium
Ate,,5,2,7.0,1,3470.0,premium
Carabayllo,83.2,2,2,29.0,1,1720.0,moderado
Barranco,,4,2,31.0,1,3530.0,premium
Miraflores,50.2,1,1,17.0,0,37628.0,premium
San Juan de Lurigancho,167.2,4,3,2.0,0,4020.0,premium
Carabayllo,156.7,3,2,35.0,1,2890.0,moderado
San Miguel,129.8,1,1,11.0,1,3980.0,premium
San Miguel,136.4,3,2,15.0,1,4230.0,premium
Lince,158.0,1,1,7.0,1,3990.0,premium
Lince,131.1,3,2,6.0,1,4160.0,premium
San Isidro,,1,1,,1,6370.0,premium
San Miguel,132.7,5,1,10.0,1,4550.0,premium
Carabayllo,180.2,2,1,26.0,1,2820.0,moderado
Chorrillos,127.9,2,1,3.0,0,3240.0,premium
Pueblo Libre,133.2,4,1,15.0,1,4060.0,premium
Ate,205.7,1,1,,1,3620.0,premium
Surco,71.9,3,1,18.0,0,4390.0,premium
San Borja,52.0,1,1,31.0,1,3270.0,premium
Lince,,3,3,7.0,1,3910.0,premium
Chorrillos,192.2,1,1,24.0,1,3380.0,premium
SAN JUAN DE LURIGANCHO,55.9,1,1,18.0,0,1260.0,economico
Surco,212.4,3,3,,0,6590.0,premium
Pueblo Libre,211.2,4,2,8.0,0,5240.0,premium
San Miguel,119.1,2,2,0.0,1,4340.0,premium
San Isidro,176.3,1,1,2.0,1,6890.0,premium
Jesus Maria,127.9,4,2,1.0,1,4850.0,premium
Lince,160.2,2,1,,0,3610.0,premium
Ate,91.4,1,1,24.0,1,1900.0,moderado
La Molina,61.4,1,1,6.0,1,4090.0,premium
Magdalena,163.0,2,2,22.0,1,4510.0,premium
Lince,171.1,3,3,15.0,1,4420.0,premium
Pueblo Libre,162.3,5,2,11.0,1,4810.0,premium
Lince,130.9,2,1,8.0,1,3910.0,premium
Magdalena,179.3,4,3,20.0,1,5230.0,premium
San Isidro,112.4,5,3,38.0,1,5810.0,premium
LINCE,182.3,2,1,33.0,1,3780.0,premium
Lince,107.7,3,2,30.0,1,54966.0,premium
San Isidro,,2,1,,1,4580.0,premium
Pueblo Libre,75.3,3,1,9.0,0,3060.0,premium
Barranco,201.0,2,2,15.0,1,5520.0,premium
San Miguel,145.8,3,1,28.0,1,3880.0,premium
Barranco,150.4,4,3,37.0,1,4850.0,premium
Barranco,194.4,4,2,10.0,1,6210.0,premium
San Borja,210.1,3,1,38.0,0,5210.0,premium
Lince,185.0,5,2,26.0,1,4360.0,premium
La Molina,161.6,1,1,16.0,1,4800.0,premium
Pueblo Libre,129.5,3,2,17.0,0,3960.0,premium
Barranco,100.7,2,1,31.0,0,3590.0,premium
San Miguel,169.8,2,1,38.0,0,3380.0,premium
San Isidro,159.4,5,1,34.0,0,6130.0,premium
Ate,201.2,2,2,30.0,1,3450.0,premium
San Juan de Lurigancho,156.4,1,1,,0,43704.0,premium
Jesus Maria,96.1,3,1,16.0,1,3750.0,premium
San Isidro,205.6,1,1,0.0,0,6940.0,premium
MIRAFLORES,173.2,5,3,3.0,0,6980.0,premium
BARRANCO,107.5,5,3,0.0,0,5310.0,premium
San Miguel,99.2,1,1,8.0,1,3420.0,premium
San Juan de Lurigancho,203.1,3,3,2.0,1,4570.0,premium
San Miguel,59.6,1,1,32.0,1,2250.0,moderado
Barranco,72.0,1,1,32.0,1,3370.0,premium
Jesus Maria,179.0,4,2,2.0,1,5550.0,premium
san miguel,123.4,1,1,24.0,1,3470.0,premium
Ate,145.4,4,3,34.0,1,3440.0,premium
San Juan de Lurigancho,137.7,3,1,19.0,1,3300.0,premium
San Borja,174.7,3,2,0.0,1,6110.0,premium
Surco,54.0,1,1,30.0,0,2960.0,moderado
Jesus Maria,135.2,4,1,17.0,0,4040.0,premium
Barranco,56.7,5,3,24.0,0,4120.0,premium
Miraflores,184.9,4,2,34.0,0,5820.0,premium
Chorrillos,190.7,1,1,10.0,0,3940.0,premium
Lince,90.3,1,1,18.0,0,2570.0,moderado
San Isidro,172.4,2,1,,0,5800.0,premium
SAN MIGUEL,201.2,3,3,30.0,0,4430.0,premium
San Miguel,47.3,5,3,,1,3220.0,premium
Miraflores,71.1,2,2,30.0,0,4410.0,premium
Pueblo Libre,210.8,1,1,37.0,1,3790.0,premium
Barranco,48.1,5,3,26.0,1,4370.0,premium
Surco,44.9,5,3,0.0,1,5060.0,premium
Ate,188.7,1,1,30.0,0,2940.0,moderado
San Miguel,175.8,5,2,0.0,1,5420.0,premium
Carabayllo,93.3,3,3,14.0,0,2620.0,moderado
Magdalena,115.7,1,1,10.0,1,3280.0,premium
La Molina,209.5,2,2,27.0,0,5170.0,premium
Jesus Maria,130.0,1,1,28.0,0,2960.0,moderado
carabayllo,176.5,4,2,5.0,0,3820.0,premium
San Borja,,2,1,25.0,1,4010.0,premium
Ate,,5,1,33.0,1,2360.0,moderado
San Isidro,209.8,5,1,18.0,0,7190.0,premium
Surco,121.3,5,3,33.0,1,5420.0,premium
Chorrillos,,5,2,26.0,1,4080.0,premium
Jesus Maria,200.0,1,1,39.0,1,3830.0,premium
San Borja,159.0,4,1,16.0,0,5550.0,premium
Lince,,4,3,21.0,1,4630.0,premium
San Miguel,191.3,1,1,14.0,1,4400.0,premium
Jesus Maria,171.8,4,1,34.0,1,4380.0,premium
Jesus Maria,215.1,1,1,9.0,0,4760.0,premium
Surco,,1,1,20.0,1,4400.0,premium
San Miguel,84.2,2,2,35.0,0,2510.0,moderado
Magdalena,216.4,4,3,18.0,1,5440.0,premium
Barranco,,5,3,28.0,1,4470.0,premium
Barranco,149.6,5,2,33.0,1,4880.0,premium
Carabayllo,194.6,5,2,33.0,0,3290.0,premium
Pueblo Libre,60.7,1,1,16.0,0,2380.0,moderado
San Miguel,123.2,2,2,9.0,1,4150.0,premium
Barranco,126.7,5,2,9.0,1,5550.0,premium
Chorrillos,128.9,3,3,10.0,1,4070.0,premium
Pueblo Libre,145.4,2,1,0.0,1,4250.0,premium
Ate,167.6,2,2,15.0,1,3770.0,premium
Barranco,197.7,5,3,,1,6060.0,premium
Miraflores,188.1,4,2,9.0,1,7150.0,premium
SAN ISIDRO,86.2,4,2,22.0,1,5920.0,premium
San Juan de Lurigancho,76.2,5,3,5.0,1,3170.0,premium
Magdalena,109.9,4,2,22.0,1,4410.0,premium
San Isidro,167.0,1,1,,0,5700.0,premium
Lince,167.8,4,1,9.0,0,4270.0,premium
La Molina,156.7,3,2,24.0,1,5090.0,premium
Lince,195.4,3,1,31.0,0,3890.0,premium
Surco,121.6,2,2,26.0,0,4410.0,premium
Magdalena,134.3,2,2,,1,3630.0,premium
Barranco,131.5,1,1,20.0,0,4250.0,premium
Miraflores,157.2,4,1,0.0,1,6610.0,premium
San Isidro,40.1,1,1,30.0,1,4480.0,premium
La Molina,174.6,1,1,9.0,0,5030.0,premium
San Juan de Lurigancho,199.7,3,2,15.0,0,3770.0,premium
Magdalena,120.8,2,1,33.0,1,3320.0,premium
Ate,219.3,3,2,29.0,0,3790.0,premium
Lince,190.8,5,3,23.0,1,4560.0,premium
Lince,50.1,3,1,18.0,1,2750.0,moderado
Barranco,74.9,3,2,35.0,0,3440.0,premium
CHORRILLOS,160.5,5,3,4.0,1,4770.0,premium
San Juan de Lurigancho,69.6,3,2,1.0,1,2800.0,moderado
Pueblo Libre,40.2,5,3,,1,3880.0,premium
Jesus Maria,148.3,1,1,23.0,1,3540.0,premium
San Isidro,136.2,5,3,0.0,1,7290.0,premium
San Miguel,168.9,2,2,2.0,1,5020.0,premium
Surco,149.3,4,2,29.0,0,5010.0,premium
Barranco,162.1,5,1,2.0,1,6100.0,premium
Surco,213.1,4,1,,0,6260.0,premium
La Molina,201.9,5,1,26.0,0,5710.0,premium
Surco,71.7,1,1,35.0,1,3570.0,premium
Magdalena,,2,2,0.0,1,3690.0,premium
San Juan de Lurigancho,193.7,4,1,32.0,0,3220.0,premium
Magdalena,180.6,1,1,27.0,1,4210.0,premium
San Isidro,92.4,2,1,30.0,1,5210.0,premium
Pueblo Libre,167.6,3,1,10.0,1,4530.0,premium
Ate,98.5,4,2,5.0,0,3270.0,premium
Lince,128.0,2,2,21.0,1,3340.0,premium
Chorrillos,167.6,4,3,7.0,1,4820.0,premium
PUEBLO LIBRE,119.9,4,1,29.0,1,3680.0,premium
San Borja,128.5,3,2,28.0,0,4500.0,premium
San Borja,208.1,5,3,16.0,0,6570.0,premium
San Isidro,126.7,3,3,26.0,1,6140.0,premium
La Molina,200.1,1,1,20.0,0,5200.0,premium
San Isidro,193.0,1,1,24.0,1,6310.0,premium
Barranco,217.7,1,1,21.0,0,4970.0,premium
La Molina,146.5,3,2,19.0,0,5120.0,premium
San Juan de Lurigancho,218.9,1,1,6.0,0,3520.0,premium
San Borja,45.9,5,2,4.0,1,4780.0,premium
Jesus Maria,99.6,3,3,31.0,1,3550.0,premium
Chorrillos,150.5,1,1,,0,2770.0,moderado
San Borja,134.3,1,1,27.0,0,4370.0,premium
San Borja,,2,2,30.0,1,5370.0,premium
Lince,40.7,4,3,5.0,0,2880.0,moderado
La Molina,190.6,2,2,17.0,1,5760.0,premium
Ate,69.6,5,1,37.0,1,2320.0,moderado
San Isidro,122.9,3,3,,1,6140.0,premium
Ate,83.3,2,1,35.0,0,1580.0,moderado
SAN MIGUEL,138.6,3,2,16.0,1,4240.0,premium
Pueblo Libre,143.8,2,2,37.0,1,3310.0,premium
Chorrillos,56.1,1,1,9.0,0,2210.0,moderado
San Juan de Lurigancho,113.9,3,1,14.0,1,3150.0,premium
Barranco,,1,1,12.0,1,5440.0,premium
San Juan de Lurigancho,,1,1,31.0,0,2860.0,moderado
Jesus Maria,118.1,3,3,37.0,1,3540.0,premium
San Juan de Lurigancho,88.6,1,1,,0,2120.0,moderado
Surco,192.2,5,1,18.0,1,6380.0,premium
San Miguel,159.3,3,3,27.0,0,3990.0,premium
Ate,179.2,5,3,18.0,1,4370.0,premium
Jesus Maria,90.4,1,1,36.0,1,2590.0,moderado
SAN JUAN DE LURIGANCHO,80.8,2,2,32.0,0,1700.0,moderado
San Isidro,63.4,3,2,28.0,1,5090.0,premium
San Miguel,77.4,2,2,31.0,1,2950.0,moderado
San Borja,130.1,1,1,39.0,0,3740.0,premium
Jesus Maria,102.6,1,1,18.0,1,3350.0,premium
Pueblo Libre,82.6,2,2,2.0,1,3740.0,premium
Chorrillos,206.9,4,3,22.0,1,4380.0,premium
Lince,,4,2,5.0,0,4100.0,premium
San Borja,132.1,1,1,30.0,1,4360.0,premium
La Molina,197.0,4,3,25.0,1,5820.0,premium
Chorrillos,200.2,4,1,17.0,1,4430.0,premium
ate,215.4,4,2,29.0,1,4320.0,premium
Magdalena,119.6,2,1,20.0,0,3610.0,premium
Barranco,186.8,2,1,11.0,1,5650.0,premium
Magdalena,204.4,4,3,10.0,1,5550.0,premium
Surco,111.2,4,1,,1,4690.0,premium
Ate,104.8,5,2,16.0,1,3310.0,premium
Chorrillos,135.8,4,3,2.0,1,4320.0,premium
San Borja,147.0,5,2,37.0,0,4960.0,premium
Barranco,211.6,4,1,36.0,0,5210.0,premium
Lince,122.4,4,2,7.0,1,4070.0,premium
San Miguel,192.6,2,2,,1,4440.0,premium
Carabayllo,176.7,2,2,14.0,1,3670.0,premium
San Juan de Lurigancho,208.3,1,1,25.0,1,3280.0,premium
Miraflores,102.8,5,1,16.0,0,5470.0,premium
Miraflores,192.5,5,2,33.0,1,6610.0,premium
SAN ISIDRO,106.9,1,1,,0,5350.0,premium
Jesus Maria,63.2,1,1,11.0,0,2720.0,moderado
San Isidro,166.2,2,2,23.0,1,6480.0,premium
Miraflores,212.2,1,1,6.0,1,6780.0,premium
ate,174.6,5,3,20.0,1,4410.0,premium
Miraflores,121.0,2,2,10.0,1,5610.0,premium
Lince,207.0,3,3,,0,4160.0,premium
Barranco,80.9,2,2,2.0,1,4670.0,premium
Ate,97.2,1,1,33.0,0,1810.0,moderado
Pueblo Libre,139.1,4,1,31.0,1,3740.0,premium
Ate,134.2,1,1,35.0,0,2000.0,moderado
Pueblo Libre,54.9,1,1,22.0,0,1880.0,moderado
Chorrillos,,2,1,3.0,0,3030.0,premium
Carabayllo,,1,1,12.0,0,3410.0,premium
carabayllo,144.9,1,1,6.0,1,2790.0,moderado
Pueblo Libre,187.5,4,3,19.0,1,4960.0,premium
Miraflores,103.9,3,3,6.0,1,6140.0,premium
CHORRILLOS,54.2,1,1,23.0,0,1630.0,moderado
Lince,74.4,2,2,31.0,1,2570.0,moderado
pueblo libre,136.7,2,2,31.0,0,3210.0,premium
Carabayllo,130.9,3,2,16.0,1,3110.0,premium
Barranco,45.8,2,1,0.0,1,3930.0,premium
Pueblo Libre,,2,2,29.0,0,2680.0,moderado
San Miguel,173.8,2,2,9.0,1,4800.0,premium
Pueblo Libre,125.9,2,2,11.0,0,3900.0,premium
San Isidro,215.7,3,1,9.0,0,7030.0,premium
Ate,143.6,1,1,14.0,0,2980.0,moderado
Lince,192.6,4,2,2.0,1,5380.0,premium
Chorrillos,203.2,5,3,17.0,0,4770.0,premium
Surco,45.1,2,2,,1,54014.0,premium
San Miguel,208.8,2,2,39.0,1,4310.0,premium
Magdalena,55.1,4,1,17.0,1,3180.0,premium
San Juan de Lurigancho,102.3,5,1,18.0,1,3090.0,premium
Ate,190.9,5,1,37.0,1,3390.0,premium
Lince,181.3,2,1,4.0,1,4520.0,premium
Miraflores,96.8,2,1,33.0,1,4520.0,premium
Miraflores,194.6,2,2,1.0,1,6750.0,premium
San Juan de Lurigancho,170.9,2,2,27.0,1,3090.0,premium
Lince,161.4,2,1,35.0,1,3420.0,premium
Magdalena,67.9,1,1,17.0,0,2940.0,moderado
Miraflores,169.4,4,3,38.0,1,5860.0,premium
San Borja,100.4,3,3,10.0,1,5210.0,premium
San Isidro,148.5,2,2,2.0,0,6350.0,premium
San Borja,178.9,2,2,24.0,1,5510.0,premium
San Juan de Lurigancho,192.5,5,2,25.0,1,3930.0,premium
Miraflores,198.0,2,1,23.0,1,6280.0,premium
Carabayllo,212.0,5,1,4.0,1,4630.0,premium
